,True A,True B,True C
180,1.105697148,0.134202264,0.098098222
180.5,1.170611874,0.136288941,0.099506998
181,1.239482212,0.146840582,0.10115721
181.5,1.324336533,0.159598964,0.100260798
182,1.40225315,0.165433945,0.10146671
182.5,1.480297127,0.182350646,0.101478506
183,1.551949282,0.203391305,0.095663673
183.5,1.641220083,0.224359429,0.095754796
184,1.723959228,0.239537406,0.101301154
184.5,1.800616138,0.264711891,0.10217269
185,1.885088417,0.293533837,0.099345932
185.5,1.948415411,0.32278019,0.1023661
186,2.022527711,0.352174145,0.108984543
186.5,2.072197849,0.393684112,0.102297155
187,2.130871083,0.437614231,0.103080767
187.5,2.179796454,0.485905656,0.105866589
188,2.222860371,0.525893359,0.11321144
188.5,2.249204901,0.584036458,0.112150629
189,2.278726135,0.638644596,0.119959649
189.5,2.290249788,0.706006057,0.119327906
190,2.291098021,0.767292484,0.124992517
190.5,2.300238843,0.832354767,0.133201959
191,2.275514091,0.903644108,0.139635497
191.5,2.257531767,0.982736913,0.145631866
192,2.214022547,1.064488382,0.153313669
192.5,2.183772204,1.135431566,0.166301742
193,2.137645243,1.209207392,0.18369035
193.5,2.071485561,1.285345586,0.198171224
194,2.016424971,1.35897793,0.216821285
194.5,1.931720102,1.446197409,0.226946936
195,1.865291172,1.515928404,0.252002222
195.5,1.800059158,1.57610457,0.284192311
196,1.726118549,1.647700509,0.305824975
196.5,1.64105536,1.701087812,0.338797578
197,1.553063171,1.754728674,0.378517596
197.5,1.4754637,1.799831707,0.412624899
198,1.386744611,1.837720838,0.454472196
198.5,1.317533575,1.87054396,0.494544797
199,1.227411911,1.894125829,0.544825032
199.5,1.16151533,1.904752828,0.595653286
200,1.089076482,1.910916882,0.646857606
200.5,1.014043766,1.908222719,0.702406442
201,0.957133875,1.887582169,0.764858992
201.5,0.891008798,1.869238007,0.822232321
202,0.841984711,1.832517624,0.885838444
202.5,0.780523333,1.794414655,0.954337279
203,0.727632091,1.750927729,1.015761305
203.5,0.700199274,1.694708596,1.077513178
204,0.649855032,1.635545204,1.141582775
204.5,0.616869012,1.566895506,1.205792428
205,0.591665913,1.493809407,1.267574428
205.5,0.559407935,1.427457798,1.318119465
206,0.525436175,1.350215885,1.375507439
206.5,0.511808862,1.275664499,1.422781251
207,0.497438461,1.189489389,1.468485193
207.5,0.471482645,1.118987435,1.502600176
208,0.448448326,1.041720094,1.534261941
208.5,0.444096405,0.962063437,1.563761161
209,0.439510124,0.885861116,1.580019284
209.5,0.433756266,0.816417987,1.589376639
210,0.415705302,0.742424527,1.5989063
210.5,0.411315833,0.684961811,1.586142021
211,0.398426697,0.624123253,1.579369314
211.5,0.382776663,0.562135387,1.563521528
212,0.401232611,0.504784708,1.540001435
212.5,0.388539898,0.462438473,1.505107489
213,0.384290305,0.416576672,1.464757073
213.5,0.382101936,0.376340098,1.422887039
214,0.385188312,0.338637871,1.369354491
214.5,0.367961033,0.302436935,1.320275908
215,0.380473468,0.274736938,1.258173586
215.5,0.381045857,0.245179886,1.201930576
216,0.374449599,0.227575552,1.138076621
216.5,0.37683441,0.202772693,1.07648117
217,0.37231656,0.183648676,1.01340061
217.5,0.377804199,0.169821781,0.945736702
218,0.374569659,0.155835969,0.8809343
218.5,0.370669246,0.142738515,0.822772691
219,0.370672857,0.134233604,0.760299976
219.5,0.365516099,0.128175975,0.70042204
220,0.368761993,0.117687696,0.647224291
220.5,0.369209194,0.114796142,0.589668553
221,0.364927041,0.112764567,0.536395816
221.5,0.369925422,0.104978467,0.493015675
222,0.35653492,0.108458157,0.44274471
222.5,0.362675777,0.102257233,0.406343573
223,0.366593874,0.097080911,0.369485403
223.5,0.371018584,0.099281787,0.333885456
224,0.362512919,0.094171701,0.302590929
224.5,0.363046729,0.09659237,0.274436874
225,0.361125724,0.095932701,0.249533087
225.5,0.36585168,0.095478595,0.226238699
226,0.375521719,0.099517271,0.207849558
226.5,0.361303164,0.096547323,0.191171179
227,0.369954515,0.093109385,0.178612459
227.5,0.375011045,0.096681619,0.166597796
228,0.376394887,0.099975381,0.158517739
228.5,0.363672981,0.097125334,0.149029124
229,0.375544765,0.106890231,0.13915183
229.5,0.36895389,0.108100883,0.136537158
