,A,B,C
0,0.0010270287,0,1.26E-05
0.1,0.0010270287,0,1.26E-05
0.3,0.0010270287,0,1.26E-05
0.4,0.0010270287,0,1.26E-05
0.7,0.0010270287,0,1.26E-05
0.8,0.0010270287,0,1.26E-05
0.95,0.0010270287,0,1.26E-05
1,0.0010270287,0,1.26E-05
1.2,0.0010270287,0,1.26E-05
1.3,0.0010270287,0,1.26E-05
1.4,0.0010270287,0,1.26E-05
1.7,0.0010270287,0,1.26E-05
1.9,0.0010270287,0,1.26E-05
2,0.0010270287,0,1.26E-05
2.0333,0.0010154147,2.20E-06,2.06E-05
2.0667,0.0010069061,1.30E-05,1.76E-05
2.1,0.0009926353,2.47E-05,1.38E-05
2.1334,0.0009820178,3.46E-05,1.24E-05
2.1667,0.0009756647,4.11E-05,1.18E-05
2.2,0.0009605396,5.36E-05,1.10E-05
2.2334,0.0009503028,6.05E-05,1.32E-05
2.2667,0.0009416855,6.84E-05,1.06E-05
2.3001,0.0009346085,7.53E-05,1.10E-05
2.3334,0.0009280297,8.09E-05,9.03E-06
2.3667,0.0009185786,8.55E-05,1.11E-05
2.4001,0.0009085725,9.32E-05,1.30E-05
2.4334,0.0008990298,9.99E-05,1.39E-05
2.4668,0.0008939226,0.0001011804,1.82E-05
2.5001,0.0008891664,0.0001032398,2.13E-05
2.5334,0.0008808514,0.0001076622,2.11E-05
2.5668,0.0008721096,0.0001116754,2.52E-05
2.6001,0.0008612013,0.0001214425,2.42E-05
2.6335,0.0008536512,0.0001216376,3.17E-05
2.6668,0.000846721,0.000127037,3.03E-05
2.7001,0.0008435937,0.000124458,3.81E-05
2.7335,0.0008408655,0.000123736,4.13E-05
2.7668,0.0008300481,0.0001321581,4.12E-05
2.8002,0.0008264366,0.0001319613,4.87E-05
2.8335,0.0008193022,0.0001319815,4.92E-05
2.8668,0.0008152776,0.0001339418,5.35E-05
2.9002,0.0008034618,0.000139359,5.81E-05
2.9335,0.0007974284,0.0001421127,6.09E-05
2.9669,0.0007929441,0.0001402675,6.70E-05
3.0002,0.0007880283,0.0001441686,6.88E-05
3.0335,0.0007842683,0.0001400635,7.54E-05
3.0669,0.0007784985,0.0001408934,8.05E-05
3.1002,0.0007736159,0.0001417899,8.59E-05
3.1336,0.0007650587,0.0001440044,8.81E-05
3.1669,0.0007582986,0.0001465104,9.41E-05
3.2002,0.0007513425,0.0001466279,9.83E-05
3.2336,0.000751865,0.000145987,0.0001002799
3.2669,0.0007458461,0.0001439382,0.000107973
3.3003,0.0007378749,0.0001472789,0.0001097688
3.3336,0.0007334702,0.0001478092,0.0001170848
3.3669,0.0007288885,0.0001472681,0.0001197695
3.4003,0.0007275295,0.0001452744,0.000125748
3.4336,0.0007165272,0.0001488927,0.0001335105
3.467,0.0007139632,0.0001475484,0.0001364258
3.5003,0.0007078333,0.0001459233,0.0001444172
3.5336,0.000701799,0.0001466334,0.0001469914
3.567,0.0006998186,0.0001458753,0.0001522717
3.6003,0.0006940119,0.0001446934,0.0001562033
3.6337,0.0006873158,0.0001462198,0.0001620911
3.667,0.0006822808,0.0001466656,0.0001663867
3.7003,0.0006757817,0.0001474584,0.0001695461
3.7337,0.0006751447,0.0001432083,0.0001795195
3.767,0.0006687036,0.000146717,0.0001791885
3.8004,0.0006671833,0.0001407331,0.0001890125
3.8337,0.0006579445,0.0001468766,0.0001909759
3.867,0.0006510618,0.0001452887,0.000197133
3.9004,0.0006526969,0.0001397328,0.0002032337
3.9337,0.0006460962,0.0001398568,0.0002094265
3.9671,0.0006415591,0.000141973,0.0002134215
4.0004,0.0006339898,0.0001418239,0.0002182658
4.0337,0.0006342893,0.0001400213,0.0002211465
4.0671,0.0006270707,0.000137781,0.0002283351
4.1004,0.0006236502,0.0001385356,0.000233329
4.1338,0.0006211955,0.00013913,0.0002362747
4.1671,0.0006129907,0.0001393818,0.0002408239
4.2004,0.0006086365,0.0001371343,0.000248998
4.2338,0.0006061457,0.0001372053,0.0002506534
4.2671,0.0006013007,0.0001341838,0.000261664
4.3005,0.0005979277,0.0001364843,0.000262359
4.3338,0.0005924313,0.0001361198,0.0002651518
4.3671,0.0005859255,0.0001383713,0.0002695782
4.4005,0.0005822559,0.000134617,0.0002759409
4.4338,0.0005800588,0.0001325582,0.000281602
4.4672,0.0005756595,0.000134916,0.0002857862
4.5005,0.0005708257,0.0001347547,0.0002897281
4.5338,0.0005684211,0.0001314077,0.000297225
