,A,B,C
0.0,0.0010270287422477187,0.0,1.2622004666719102e-05
0.0333,0.0010154146793560827,2.2042495042078835e-06,2.0555887807634343e-05
0.0667,0.001006906145441944,1.3041463917576706e-05,1.7636928106204522e-05
0.1,0.0009926352934163576,2.4680620670202026e-05,1.3762803314186124e-05
0.1334,0.000982017773050161,3.459925605487398e-05,1.2381067318181203e-05
0.1667,0.0009756647165993582,4.111582534478238e-05,1.1795586571422503e-05
0.2,0.0009605395608826726,5.3551747983587e-05,1.0984337649641287e-05
0.2334,0.0009503028109671025,6.049345323067737e-05,1.315162757431941e-05
0.2667,0.0009416854926609913,6.839875711553404e-05,1.057501764997056e-05
0.3001,0.0009346084791400761,7.534125785751175e-05,1.1039088407220083e-05
0.3334,0.0009280296901836051,8.091678276668218e-05,9.031602498667834e-06
0.3667,0.0009185785753765129,8.545754978024874e-05,1.1149754509986361e-05
0.4001,0.000908572538801172,9.318496590990659e-05,1.3000314560224659e-05
0.4334,0.0008990297886968618,9.987031515584531e-05,1.3938873368724397e-05
0.4668,0.0008939226052274674,0.00010118036852516315,1.820885580241481e-05
0.5001,0.0008891664344928558,0.0001032397941886651,2.1343802878526814e-05
0.5334,0.0008808514441259628,0.00010766217052995271,2.1144904875825463e-05
0.5668,0.0008721095686028244,0.00011167541254925793,2.5224933152441444e-05
0.6001,0.0008612012851110444,0.00012144252993140104,2.4206273693186402e-05
0.6335,0.000853651223801627,0.00012163759863980895,3.166163495756807e-05
0.6668,0.0008467209718566009,0.0001270370396496777,3.0306139467292655e-05
0.7001,0.0008435936636188448,0.00012445795157498126,3.807865351147795e-05
0.7335,0.0008408654870762446,0.0001237360410579704,4.126918840079478e-05
0.7668,0.0008300481180519008,0.0001321580869368006,4.1153704632597595e-05
0.8002,0.000826436605672741,0.0001319613339155136,4.86752661396343e-05
0.8335,0.0008193022451763795,0.0001319815073032123,4.9248681470855833e-05
0.8668,0.0008152775932854673,0.00013394178764902044,5.354833171039487e-05
0.9002,0.0008034617721749342,0.00013935901351188628,5.80878256460017e-05
0.9335,0.0007974284202875842,0.00014211265598836707,6.094211201194695e-05
0.9669,0.0007929440938116362,0.0001402675236794441,6.70436362635116e-05
1.0002,0.00078802829300357,0.00014416859521084084,6.877562539551972e-05
1.0335,0.0007842682544579572,0.00014006350541862576,7.543141733836831e-05
1.0669,0.0007784985178875471,0.00014089339883555202,8.050432476338902e-05
1.1002,0.0007736159175875541,0.00014178985692336757,8.585985276386569e-05
1.1336,0.000765058715448089,0.00014400443806600666,8.805946739542333e-05
1.1669,0.0007582986177969329,0.00014651044234350398,9.411366674494369e-05
1.2002,0.0007513425167610566,0.00014662794571037045,9.830793534503814e-05
1.2336,0.0007518649548935814,0.00014598704576642004,0.00010027991852556384
1.2669,0.0007458460867826933,0.0001439381611072394,0.00010797301851160454
1.3003,0.0007378749191162678,0.0001472788567190966,0.00010976878980228866
1.3336,0.0007334702205776945,0.00014780917937641137,0.00011708482283596514
1.3669,0.0007288885371802144,0.00014726808887846526,0.0001197695393532009
1.4003,0.0007275294748506206,0.00014527438808656013,0.0001257479916275166
1.4336,0.0007165271572571435,0.00014889270136175773,0.00013351053297321053
1.467,0.0007139631821014034,0.0001475484144843402,0.00013642584100292496
1.5003,0.0007078333396988567,0.00014592326227005054,0.0001444172272813399
1.5336,0.0007017990123572949,0.00014663339608195658,0.00014699138381432165
1.567,0.0006998186052906734,0.0001458752916409352,0.0001522716930577463
1.6003,0.0006940119173193561,0.00014469341777263982,0.0001562033034734728
1.6337,0.0006873157848198686,0.00014621982075994257,0.00016209106060051249
1.667,0.0006822808409062231,0.0001466655754687257,0.00016638671917671477
1.7003,0.0006757816587158044,0.00014745842364863302,0.0001695461146669593
1.7337,0.0006751446718704993,0.00014320826566347023,0.0001795195203180908
1.767,0.0006687035786363347,0.00014671695948967917,0.00017918849465635924
1.8004,0.0006671833186666497,0.00014073307355551767,0.00018901246969786433
1.8337,0.0006579445066958841,0.00014687661740705592,0.0001909758750355407
1.867,0.0006510618015864962,0.00014528867472133683,0.00019713302119048285
1.9004,0.0006526969356293845,0.00013973276870025882,0.00020323373151873183
1.9337,0.0006460961661879642,0.0001398567833619607,0.00020942654382572645
1.9671,0.000641559092787108,0.00014197304314934368,0.00021342147403490078
2.0004,0.000633989762955607,0.00014182391455421132,0.000218265822167893
2.0337,0.0006342892816204059,0.00014002131589861433,0.0002211464741477945
2.0671,0.0006270706782577823,0.0001377809924184563,0.00022833514236682954
2.1004,0.000623650245376015,0.00013853555662705382,0.00023332900412509607
2.1338,0.0006211955362603885,0.00013912996444991657,0.00023627472548849967
2.1671,0.0006129907261358349,0.0001393817920211124,0.00024082394125451927
2.2004,0.0006086364929787448,0.00013713425591720907,0.00024899799329131133
2.2338,0.0006061457412930336,0.0001372053107067039,0.00025065339782001357
2.2671,0.0006013007342941969,0.0001341837512788203,0.00026166400145317313
2.3005,0.0005979277173836782,0.0001364842791597224,0.0002623589895644714
2.3338,0.0005924312934174132,0.0001361197705573341,0.0002651518176676936
2.3671,0.0005859255427778874,0.00013837126842459552,0.00026957822063387806
2.4005,0.0005822558567918297,0.00013461698383540155,0.00027594089766705664
2.4338,0.0005800587901743713,0.00013255819699233942,0.00028160204572985793
2.4672,0.0005756594861547588,0.0001349159927204488,0.00028578615496409863
2.5005,0.0005708257004144769,0.000134754684337347,0.00028972810082422706
2.5338,0.0005684210738303524,0.00013140769548580648,0.0002972250107958718
2.5672,0.0005660538120907379,0.00013050708088868185,0.00030073881534342645
2.6005,0.0005559588028180883,0.00013481653573059666,0.00030353137229497225
2.6339,0.0005544986192542533,0.0001297245675806333,0.00031103197595846484
2.6672,0.0005491391485565772,0.00012801144521220695,0.0003169645350688088
2.7005,0.0005489674357914886,0.00012942607128111933,0.00031894619659798905
2.7339,0.0005458301271381088,0.00012598788667903102,0.0003260817442459142
2.7672,0.0005352593052549861,0.00013294238186546036,0.0003267829409196747
2.8006,0.0005377945545601557,0.00012307704624430152,0.0003340875590521459
2.8339,0.0005300648073862388,0.00012800524772157,0.00033625523458863995
2.8672,0.0005273170321455857,0.00012444162300426518,0.00034311983595959134
2.9006,0.0005249849268996394,0.00012496260490727504,0.0003461017116525527
2.9339,0.0005198919743522972,0.0001224971509854605,0.00035021222824297316
2.9673,0.0005156668538835203,0.0001226012154489269,0.0003574478695124691
3.0006,0.0005091826123953652,0.0001243588422144312,0.0003610587220390022
3.0339,0.0005093563518882357,0.0001224882702784694,0.0003647086907205657
3.0673,0.0005048465397117715,0.00012007127951670882,0.00037002019668309845
3.1006,0.0005008646839194562,0.00012015656011169474,0.00037632901834916285
3.134,0.0004956034969046505,0.00011942866975479032,0.000380143483468869
3.1673,0.0004936529733627204,0.00011847735489689021,0.0003840108403057753
3.2006,0.00048707498856058484,0.00011852111829695288,0.00038795271682261526
3.234,0.0004885779688708822,0.00011443308255584468,0.00039355181635343143
3.2673,0.00048362587605705796,0.00011643897873302301,0.0003961244774387424
3.3007,0.00047686875774962675,0.00011703472074200799,0.00040022038635533657
3.334,0.0004750400771339456,0.00011579246219403386,0.00040538177644316395
3.3673,0.00046918570708029547,0.00011523317614167571,0.00041130819235176005
3.4007,0.00046263127625193064,0.00011806064215150979,0.0004133547150182432
3.434,0.00046932948953166937,0.00011292696477890542,0.00041600166924799794
3.4674,0.00046130026684891904,0.00011470313602474327,0.00041924617423082016
3.5007,0.00045639321528711743,0.00011358153038372482,0.000424605527158137
3.534,0.00045319171734864455,0.0001130778505786931,0.0004309046641772468
3.5674,0.00045128575344135754,0.00011201804997471127,0.00043278141446259096
3.6007,0.00044765734402386876,0.00011341807272859127,0.00043473495565696913
3.6341,0.00044311979617839205,0.00011003915554925343,0.0004443311918117628
3.6674,0.00044336593237315815,0.00010907547836916563,0.00044628428961140856
3.7007,0.0004369063028523087,0.00011044669670450341,0.0004498490087733638
3.7341,0.00043404895436364787,0.00010859865785179351,0.0004537807835156623
3.7674,0.0004323621970028701,0.00010846182331378769,0.0004574010955950657
3.8008,0.00042983634867939537,0.00010343178751561962,0.00046209722010260765
3.8341,0.0004241493720747982,0.0001056788558810928,0.00046606662925728317
3.8674,0.0004206199279156337,0.00010979595289646098,0.00046612056984642443
3.9008,0.0004206245926542831,0.0001004457033734138,0.00047639366125093804
3.9341,0.00041370481632368967,0.00011066732415518233,0.00047272058210989353
3.9675,0.00041200099265487815,9.901160984273305e-05,0.0004836147951605136
4.0008,0.00041001359054752975,0.00010214143219424041,0.0004851743480234784
4.0341,0.00040868788989367104,9.976296357062638e-05,0.0004892377897064077
4.0675,0.0004038943423059839,0.00010055886392101218,0.0004924415932907941
4.1008,0.0003982201539440562,0.00010379260377488482,0.0004940659745148533
4.1342,0.00039738053746631263,0.0001009046409537716,0.0004989339963021574
4.1675,0.0003946328684904832,9.941788562180007e-05,0.0005019731538846063
4.2008,0.0003932918327617205,9.533145924052386e-05,0.0005085434874250849
4.2342,0.0003890390979255597,9.926114546202856e-05,0.0005070786906538093
4.2675,0.0003868775800811185,9.618297365067423e-05,0.0005118984787747387
4.3009,0.00038385866958364303,9.385480978564548e-05,0.0005188633975382463
4.3342,0.0003801997162845019,9.726070349811331e-05,0.0005205934514140356
4.3675,0.00037171177515164913,0.00010061335907620233,0.0005223914551787339
4.4009,0.000373137482016379,9.595066637731483e-05,0.0005286433714089288
4.4342,0.0003727571689506162,9.28390630055275e-05,0.0005327838154708957
4.4676,0.0003665977643382124,9.575487797578075e-05,0.0005355739207629713
4.5009,0.00036752599156004057,9.340217244602637e-05,0.0005375173966507646
4.5342,0.0003628652990358004,9.255551276450585e-05,0.000543692630703805
4.5676,0.000361052281618501,9.170450334469469e-05,0.0005460744851026651
4.6009,0.0003576078243289194,9.162283779087977e-05,0.000549169708833707
4.6343,0.0003544175130385075,9.042620012058397e-05,0.0005543713848514649
4.6676,0.0003513094280446978,9.286775516861901e-05,0.0005532657406001029
4.7009,0.0003509092500252595,8.916608581494794e-05,0.0005580951337856815
4.7343,0.0003465886657194215,9.062119199814355e-05,0.0005580618633251123
4.7676,0.00034337890928997906,9.269281372914616e-05,0.0005629517311594432
4.801,0.000340463198312527,9.008210508967405e-05,0.000567814036942253
4.8343,0.00034254920762310007,8.711877749148551e-05,0.0005726742511502834
4.8676,0.0003343055298727465,8.800409351284483e-05,0.0005744743310822827
4.901,0.0003365073872239232,8.225510957532768e-05,0.0005828356224764977
4.9343,0.00032945095664665915,8.639417880945025e-05,0.0005808061113314712
4.9677,0.000326563519205212,8.762659841185065e-05,0.0005832097020356688
5.001,0.0003279409250742609,8.420062417020405e-05,0.0005862882206516144
5.0343,0.0003243742465874078,8.646124139855601e-05,0.0005883454885118631
5.0677,0.00032136984609726474,8.707937920262878e-05,0.0005894044569495364
5.101,0.00032009811769203916,8.270923106506051e-05,0.0005947423541784406
5.1344,0.0003130267361837927,8.783845446490422e-05,0.0005986927109806513
5.1677,0.0003131010517219253,8.365566563609384e-05,0.0006002101221000202
5.201,0.0003137922224811977,8.215660860865706e-05,0.0006027839367962798
5.2344,0.00030784428808729994,8.216202458566288e-05,0.0006064262006601733
5.2677,0.0003058099227714445,8.191205018483232e-05,0.000609386714239557
5.3011,0.0003072738239005847,8.223458036346701e-05,0.0006107517789294222
5.3344,0.0003004648976744792,8.318128366273255e-05,0.0006141341190715542
5.3677,0.00029947397468288786,8.06768835666568e-05,0.0006177751303748579
5.4011,0.0002965046426517254,8.297182162149106e-05,0.000618279951042814
5.4344,0.0002949270557983648,8.034942514459334e-05,0.0006252156452240927
5.4678,0.00029305342108294416,7.912657368578886e-05,0.0006275508208384415
5.5011,0.0002901136645809625,7.847038333992458e-05,0.0006280982529941326
5.5344,0.0002914417337057109,7.767084644874307e-05,0.0006329911710039214
5.5678,0.00028628449631338084,8.084080955715533e-05,0.0006310569364789295
5.6011,0.00028609748227708325,7.514447494984226e-05,0.0006380500707162432
5.6345,0.0002857242572225488,7.462045503320683e-05,0.000640392570715761
5.6678,0.0002774092132163593,8.072335505704184e-05,0.0006423624208613653
5.7011,0.00027955819391114507,7.425980215454652e-05,0.0006468295096927541
5.7345,0.0002780056442312798,7.649407978285513e-05,0.0006460792760039137
5.7678,0.0002752128762413996,7.595815708861323e-05,0.0006488338203363028
5.8012,0.0002732843522417273,7.392059949568555e-05,0.0006526899596018036
5.8345,0.00027315115105546015,7.232444906303058e-05,0.0006553725736081265
5.8678,0.0002651311198702091,7.541879513342437e-05,0.0006597118624508567
5.9012,0.00026362710450184034,7.778348201674948e-05,0.0006562849178727686
5.9345,0.0002638094506692722,7.382725787222986e-05,0.0006612337296208748
5.9679,0.00026142356432448487,7.345423770383953e-05,0.0006651999638611993
6.0012,0.0002611759301217979,7.063467825831079e-05,0.0006696507257315802
6.0345,0.00025724148321261354,7.17833475853009e-05,0.0006706745870599024
6.0679,0.0002562284657488783,7.358500344144919e-05,0.0006713646726149452
6.1012,0.0002539655410721547,7.190253049003766e-05,0.0006740055356255409
6.1346,0.0002525672126975044,6.865542228534166e-05,0.0006786281307173422
6.1679,0.0002493341618311636,7.300936356588957e-05,0.0006766441403316355
6.2012,0.00024739951412177714,7.05288382813943e-05,0.0006808111169771999
6.2346,0.0002463577231944603,6.949490702439985e-05,0.000684739214935916
6.2679,0.0002429210058120457,7.02081399376614e-05,0.0006873639799440178
6.3013,0.00023811721332110447,7.171788480216154e-05,0.000689244437723773
6.3346,0.00024144665108594132,6.591231054030734e-05,0.000693321533542285
6.3679,0.00023882391819632796,6.689121560693017e-05,0.0006944592835578295
6.4013,0.00023655266450025463,6.781630459171188e-05,0.0006967469579398595
6.4346,0.00023360756241922213,6.863364930948283e-05,0.0006977022090951831
6.468,0.00022997692521093668,6.992284239294822e-05,0.0006986310239237033
6.5013,0.00023293251722576383,6.61052467114893e-05,0.0007043846842851789
6.5346,0.0002298184346989525,6.566157833791152e-05,0.0007045935333249541
6.568,0.000226781809465366,6.551449861564714e-05,0.0007054814826193625
6.6013,0.00022509679055771742,6.565155308711961e-05,0.0007111674110872272
6.6347,0.0002243286994360222,6.655511596574202e-05,0.000713218810739348
6.668,0.00022035903435972372,6.531177296400056e-05,0.0007153989370261155
6.7013,0.00022143691503727085,6.368572228187165e-05,0.0007158040364217737
6.7347,0.00022043102583655673,6.161994428639381e-05,0.0007177794995887595
6.768,0.000218393471646078,5.9718372946500715e-05,0.0007225562770570781
6.8014,0.0002127717167566069,6.717983980360806e-05,0.0007183486104664075
6.8347,0.00021281354120611476,6.239782111744801e-05,0.0007266964384718768
6.868,0.00021050718861227632,6.493324535855106e-05,0.000724764914563381
6.9014,0.0002116378980535288,6.395633666553801e-05,0.0007273590288527004
6.9347,0.00020847977584773872,6.350686345940184e-05,0.0007314859520837204
6.9681,0.00020789764165689373,6.246937285331012e-05,0.0007316752363514887
7.0014,0.000202127467176097,6.365066560838476e-05,0.0007329121477436836
7.0347,0.0002068298768086479,5.892305604488727e-05,0.0007360230930806588
7.0681,0.0002012345050077557,5.995867115840953e-05,0.0007400039792138464
7.1014,0.0002017467360082803,6.04540902798764e-05,0.0007376948085983003
7.1348,0.00019765739272945896,6.339134864456481e-05,0.0007381389374453363
7.1681,0.00019766723018929992,5.979098843549285e-05,0.0007440991812022238
7.2014,0.00019804710117083145,5.8977917221861114e-05,0.0007450065453295856
7.2348,0.00019323347551939853,6.025890571177281e-05,0.0007452350097980236
7.2681,0.0001927278316930269,5.873766588810801e-05,0.0007497548524655102
7.3015,0.00019130781145558303,5.8718003907054106e-05,0.0007509496289031945
