,B,C
0,0,0.000012622
0.0333,2.20424950420788E-06,2.05558878076343E-05
0.0667,1.30414639175767E-05,1.76369281062045E-05
0.1,2.4680620670202E-05,1.37628033141861E-05
0.1334,3.4599256054874E-05,1.23810673181812E-05
0.1667,4.11158253447824E-05,1.17955865714225E-05
0.2,5.3551747983587E-05,1.09843376496413E-05
0.2334,6.04934532306774E-05,1.31516275743194E-05
0.2667,6.83987571155341E-05,0.000010575
0.3001,7.53412578575118E-05,1.10390884072201E-05
0.3334,8.09167827666822E-05,9.03160249866783E-06
0.3667,8.54575497802487E-05,1.11497545099864E-05
0.4001,0.000093185,1.30003145602247E-05
0.4334,9.98703151558453E-05,1.39388733687244E-05
0.4668,0.0001011804,1.82088558024148E-05
0.5001,0.0001032398,2.13438028785268E-05
0.5334,0.0001076622,2.11449048758255E-05
0.5668,0.0001116754,2.52249331524414E-05
0.6001,0.0001214425,2.42062736931864E-05
0.6335,0.0001216376,3.16616349575681E-05
0.6668,0.000127037,3.03061394672927E-05
0.7001,0.000124458,3.8078653511478E-05
0.7335,0.000123736,4.12691884007948E-05
0.7668,0.0001321581,4.11537046325976E-05
0.8002,0.0001319613,4.86752661396343E-05
0.8335,0.0001319815,4.92486814708558E-05
0.8668,0.0001339418,5.35483317103949E-05
0.9002,0.000139359,5.80878256460017E-05
0.9335,0.0001421127,6.0942112011947E-05
0.9669,0.0001402675,6.70436362635116E-05
1.0002,0.0001441686,6.87756253955197E-05
1.0335,0.0001400635,7.54314173383683E-05
1.0669,0.0001408934,8.0504324763389E-05
1.1002,0.0001417899,8.58598527638657E-05
1.1336,0.0001440044,8.80594673954233E-05
1.1669,0.0001465104,9.41136667449437E-05
1.2002,0.0001466279,9.83079353450381E-05
1.2336,0.000145987,0.0001002799
1.2669,0.0001439382,0.000107973
1.3003,0.0001472789,0.0001097688
1.3336,0.0001478092,0.0001170848
1.3669,0.0001472681,0.0001197695
1.4003,0.0001452744,0.000125748
1.4336,0.0001488927,0.0001335105
1.467,0.0001475484,0.0001364258
1.5003,0.0001459233,0.0001444172
1.5336,0.0001466334,0.0001469914
1.567,0.0001458753,0.0001522717
1.6003,0.0001446934,0.0001562033
1.6337,0.0001462198,0.0001620911
1.667,0.0001466656,0.0001663867
1.7003,0.0001474584,0.0001695461
1.7337,0.0001432083,0.0001795195
1.767,0.000146717,0.0001791885
1.8004,0.0001407331,0.0001890125
1.8337,0.0001468766,0.0001909759
1.867,0.0001452887,0.000197133
1.9004,0.0001397328,0.0002032337
1.9337,0.0001398568,0.0002094265
1.9671,0.000141973,0.0002134215
2.0004,0.0001418239,0.0002182658
2.0337,0.0001400213,0.0002211465
2.0671,0.000137781,0.0002283351
2.1004,0.0001385356,0.000233329
2.1338,0.00013913,0.0002362747
2.1671,0.0001393818,0.0002408239
2.2004,0.0001371343,0.000248998
2.2338,0.0001372053,0.0002506534
2.2671,0.0001341838,0.000261664
2.3005,0.0001364843,0.000262359
2.3338,0.0001361198,0.0002651518
2.3671,0.0001383713,0.0002695782
2.4005,0.000134617,0.0002759409
2.4338,0.0001325582,0.000281602
2.4672,0.000134916,0.0002857862
2.5005,0.0001347547,0.0002897281
2.5338,0.0001314077,0.000297225
2.5672,0.0001305071,0.0003007388
2.6005,0.0001348165,0.0003035314
2.6339,0.0001297246,0.000311032
2.6672,0.0001280114,0.0003169645
2.7005,0.0001294261,0.0003189462
2.7339,0.0001259879,0.0003260817
2.7672,0.0001329424,0.0003267829
2.8006,0.000123077,0.0003340876
2.8339,0.0001280052,0.0003362552
2.8672,0.0001244416,0.0003431198
2.9006,0.0001249626,0.0003461017
2.9339,0.0001224972,0.0003502122
2.9673,0.0001226012,0.0003574479
3.0006,0.0001243588,0.0003610587
3.0339,0.0001224883,0.0003647087
3.0673,0.0001200713,0.0003700202
3.1006,0.0001201566,0.000376329
3.134,0.0001194287,0.0003801435
3.1673,0.0001184774,0.0003840108
3.2006,0.0001185211,0.0003879527
3.234,0.0001144331,0.0003935518
3.2673,0.000116439,0.0003961245
3.3007,0.0001170347,0.0004002204
3.334,0.0001157925,0.0004053818
3.3673,0.0001152332,0.0004113082
3.4007,0.0001180606,0.0004133547
3.434,0.000112927,0.0004160017
3.4674,0.0001147031,0.0004192462
3.5007,0.0001135815,0.0004246055
3.534,0.0001130779,0.0004309047
3.5674,0.000112018,0.0004327814
3.6007,0.0001134181,0.000434735
3.6341,0.0001100392,0.0004443312
3.6674,0.0001090755,0.0004462843
3.7007,0.0001104467,0.000449849
3.7341,0.0001085987,0.0004537808
3.7674,0.0001084618,0.0004574011
3.8008,0.0001034318,0.0004620972
3.8341,0.0001056789,0.0004660666
3.8674,0.000109796,0.0004661206
3.9008,0.0001004457,0.0004763937
3.9341,0.0001106673,0.0004727206
3.9675,9.90116098427331E-05,0.0004836148
4.0008,0.0001021414,0.0004851743
4.0341,0.000099763,0.0004892378
4.0675,0.0001005589,0.0004924416
4.1008,0.0001037926,0.000494066
4.1342,0.0001009046,0.000498934
4.1675,9.94178856218001E-05,0.0005019732
4.2008,9.53314592405239E-05,0.0005085435
4.2342,9.92611454620286E-05,0.0005070787
4.2675,0.000096183,0.0005118985
4.3009,9.38548097856455E-05,0.0005188634
4.3342,9.72607034981133E-05,0.0005205935
4.3675,0.0001006134,0.0005223915
4.4009,9.59506663773148E-05,0.0005286434
4.4342,9.28390630055275E-05,0.0005327838
4.4676,9.57548779757808E-05,0.0005355739
4.5009,9.34021724460264E-05,0.0005375174
4.5342,9.25555127645059E-05,0.0005436926
4.5676,9.17045033446947E-05,0.0005460745
4.6009,9.16228377908798E-05,0.0005491697
4.6343,9.0426200120584E-05,0.0005543714
4.6676,9.2867755168619E-05,0.0005532657
4.7009,8.91660858149479E-05,0.0005580951
4.7343,9.06211919981435E-05,0.0005580619
4.7676,9.26928137291462E-05,0.0005629517
4.801,9.00821050896741E-05,0.000567814
4.8343,8.71187774914855E-05,0.0005726743
4.8676,8.80040935128448E-05,0.0005744743
4.901,8.22551095753277E-05,0.0005828356
4.9343,8.63941788094503E-05,0.0005808061
4.9677,8.76265984118507E-05,0.0005832097
5.001,8.42006241702041E-05,0.0005862882
5.0343,8.6461241398556E-05,0.0005883455
5.0677,8.70793792026288E-05,0.0005894045
5.101,8.27092310650605E-05,0.0005947424
5.1344,8.78384544649042E-05,0.0005986927
5.1677,8.36556656360938E-05,0.0006002101
5.201,8.21566086086571E-05,0.0006027839
5.2344,0.000082162,0.0006064262
5.2677,8.19120501848323E-05,0.0006093867
5.3011,8.2234580363467E-05,0.0006107518
5.3344,8.31812836627326E-05,0.0006141341
5.3677,8.06768835666568E-05,0.0006177751
5.4011,8.29718216214911E-05,0.00061828
5.4344,8.03494251445934E-05,0.0006252156
5.4678,7.91265736857889E-05,0.0006275508
5.5011,7.84703833399246E-05,0.0006280983
5.5344,7.76708464487431E-05,0.0006329912
5.5678,8.08408095571553E-05,0.0006310569
5.6011,7.51444749498423E-05,0.0006380501
5.6345,7.46204550332068E-05,0.0006403926
5.6678,8.07233550570418E-05,0.0006423624
5.7011,7.42598021545465E-05,0.0006468295
5.7345,7.64940797828551E-05,0.0006460793
5.7678,7.59581570886132E-05,0.0006488338
5.8012,7.39205994956856E-05,0.00065269
5.8345,7.23244490630306E-05,0.0006553726
5.8678,7.54187951334244E-05,0.0006597119
5.9012,7.77834820167495E-05,0.0006562849
5.9345,7.38272578722299E-05,0.0006612337
5.9679,7.34542377038395E-05,0.0006652
6.0012,7.06346782583108E-05,0.0006696507
6.0345,7.17833475853009E-05,0.0006706746
6.0679,0.000073585,0.0006713647
6.1012,7.19025304900377E-05,0.0006740055
6.1346,6.86554222853417E-05,0.0006786281
6.1679,7.30093635658896E-05,0.0006766441
6.2012,7.05288382813943E-05,0.0006808111
6.2346,6.94949070243998E-05,0.0006847392
6.2679,7.02081399376614E-05,0.000687364
6.3013,7.17178848021615E-05,0.0006892444
6.3346,6.59123105403073E-05,0.0006933215
6.3679,6.68912156069302E-05,0.0006944593
6.4013,6.78163045917119E-05,0.000696747
6.4346,6.86336493094828E-05,0.0006977022
6.468,6.99228423929482E-05,0.000698631
6.5013,6.61052467114893E-05,0.0007043847
6.5346,6.56615783379115E-05,0.0007045935
6.568,6.55144986156471E-05,0.0007054815
6.6013,6.56515530871196E-05,0.0007111674
6.6347,6.6555115965742E-05,0.0007132188
6.668,6.53117729640006E-05,0.0007153989
6.7013,6.36857222818716E-05,0.000715804
6.7347,6.16199442863938E-05,0.0007177795
6.768,5.97183729465007E-05,0.0007225563
6.8014,6.71798398036081E-05,0.0007183486
6.8347,6.2397821117448E-05,0.0007266964
6.868,6.49332453585511E-05,0.0007247649
6.9014,6.3956336665538E-05,0.000727359
6.9347,6.35068634594018E-05,0.000731486
6.9681,6.24693728533101E-05,0.0007316752
7.0014,6.36506656083848E-05,0.0007329121
7.0347,5.89230560448873E-05,0.0007360231
7.0681,5.99586711584095E-05,0.000740004
7.1014,6.04540902798764E-05,0.0007376948
7.1348,6.33913486445648E-05,0.0007381389
7.1681,0.000059791,0.0007440992
7.2014,5.89779172218611E-05,0.0007450065
7.2348,6.02589057117728E-05,0.000745235
7.2681,5.8737665888108E-05,0.0007497549
7.3015,0.000058718,0.0007509496
7.3348,5.76322796515249E-05,0.0007542156
7.3681,5.87915579800511E-05,0.0007546763
7.4015,5.76920857387162E-05,0.0007546646
7.4348,5.42578695382083E-05,0.0007608035
7.4682,5.69288209307262E-05,0.0007588089
7.5015,5.52199030616759E-05,0.0007640046
7.5348,5.23603402216431E-05,0.0007648407
7.5682,5.79723522262396E-05,0.0007621582
7.6015,5.64165118763597E-05,0.000765875
7.6349,5.2098064963347E-05,0.0007688054
7.6682,5.15143444555656E-05,0.0007701267
7.7015,5.64891374117591E-05,0.0007715795
7.7349,5.54932059704368E-05,0.000770541
7.7682,5.34581523774556E-05,0.0007745274
7.8016,5.33665591071247E-05,0.0007782001
7.8349,5.35812494364549E-05,0.0007775591
7.8682,5.53811231242673E-05,0.0007763656
7.9016,5.23182351327231E-05,0.0007819212
7.9349,5.49175198856484E-05,0.0007823875
7.9683,4.81221695932066E-05,0.0007856162
8.0016,5.44878431219727E-05,0.0007840833
8.0349,4.9467758200272E-05,0.0007911238
8.0683,5.18137937552723E-05,0.0007900899
8.1016,5.0439531508197E-05,0.0007927881
8.135,5.0352887235456E-05,0.0007924359
8.1683,0.000054135,0.0007953729
8.2016,4.93621120416803E-05,0.0007983683
8.235,4.97532058531782E-05,0.0007980733
8.2683,5.12171053440842E-05,0.0007973747
8.3017,5.34604683935005E-05,0.0007989034
8.335,5.42511277926898E-05,0.0007989397
8.3683,5.00188594815334E-05,0.0008041985
8.4017,5.29302545405634E-05,0.0008030172
8.435,0.000049889,0.0008056452
8.4684,5.01314238165037E-05,0.0008077566
8.5017,4.90518384539222E-05,0.0008080227
8.535,5.23712982013246E-05,0.0008093883
8.5684,4.62353258753549E-05,0.000813458
8.6017,5.08167499273238E-05,0.0008108029
8.6351,4.68287703482137E-05,0.0008157848
8.6684,4.70242101617679E-05,0.0008158394
8.7017,4.74569228199642E-05,0.0008160368
