,A,B,C
0.000000,2.083423,	0.000000, 	0.000000
0.006957,2.050325, 	0.001389, 	0.000001
0.125632,1.819311, 	0.024509, 	0.000306
0.556208,2.044662, 	0.099940, 	0.005443
1.495467,1.541831, 	0.228099, 	0.032088
3.140156,1.213143, 	0.376072, 	0.101885
5.778965,1.342635, 	0.514788, 	0.217732
10.109477,0.844124, 	0.649458, 	0.355846
15.010179,0.700708, 	0.753979, 	0.439982
16.201092, -0.063078, 	0.723019, 	0.470846
20.053501, 	0.283442, 	0.645382, 	0.548498
30.205668, 	0.341901, 	0.530811, 	0.663064
43.388437, 	0.054756, 	0.462586, 	0.731291
57.814175, 	-0.368227, 	0.427244,	0.766634
