,state,fe,cp,T
C,1,1,1,995.2600640867
C,2,1,1,294.0550818375
C,3,1,1,294.0208660018
C,1,1,2,981.0971613528
C,2,1,2,298.6625295186
C,3,1,2,297.6989470016
C,1,1,3,971.5593610402
C,2,1,3,301.6312015082
C,3,1,3,300.731937616
C,1,2,1,966.8347062279
C,2,2,1,302.4696195548
C,3,2,1,301.826245909
C,1,2,2,954.0751351691
C,2,2,2,305.7737826364
C,3,2,2,305.0339361623
C,1,2,3,944.8641638195
C,2,2,3,307.896345044
C,3,2,3,307.6697034444
C,1,3,1,940.486559049
C,2,3,1,309.412289586
C,3,3,1,309.1528859276
C,1,3,2,928.7990284026
C,2,3,2,312.2388708608
C,3,3,2,311.5669134691
C,1,3,3,919.5408264931
C,2,3,3,315.1086961328
C,3,3,3,314.5958227659
C,1,4,1,916.3230424929
C,2,4,1,315.6211329828
C,3,4,1,314.9783993629
C,1,4,2,905.2999784188
C,2,4,2,318.6739853759
C,3,4,2,317.6467501844
C,1,4,3,898.0004188103
C,2,4,3,320.7652757112
C,3,4,3,320.2345199477
C,1,5,1,894.1825636999
C,2,5,1,321.1551058488
C,3,5,1,320.8648195834
C,1,5,2,884.3356900646
C,2,5,2,324.2334076243
C,3,5,2,323.6710795507
C,1,5,3,877.827587633
C,2,5,3,326.3059996548
C,3,5,3,325.4223756747
C,1,6,1,874.8517234698
C,2,6,1,326.9710921046
C,3,6,1,325.7765460767
C,1,6,2,865.199573388
C,2,6,2,329.1846061432
C,3,6,2,328.4969350033
C,1,6,3,859.6034381986
C,2,6,3,330.7293262248
C,3,6,3,330.2174123844
C,1,7,1,856.9286332021
C,2,7,1,331.2539006865
C,3,7,1,330.732204931
C,1,7,2,848.624467519
C,2,7,2,333.538825438
C,3,7,2,332.6025929487
C,1,7,3,843.0472260789
C,2,7,3,335.1405944061
C,3,7,3,334.5421912234
C,1,8,1,840.6046277426
C,2,8,1,335.9906721576
C,3,8,1,334.5224064129
C,1,8,2,833.1588215132
C,2,8,2,337.5714954641
C,3,8,2,337.0541004033
C,1,8,3,828.6256491734
C,2,8,3,339.0951309592
C,3,8,3,338.4534837635
C,1,9,1,825.8663427653
C,2,9,1,339.9333742114
C,3,9,1,338.7370425672
C,1,9,2,819.3025894818
C,2,9,2,341.4527196574
C,3,9,2,340.1593030724
C,1,9,3,814.9539253182
C,2,9,3,342.6256505805
C,3,9,3,341.8766249886
C,1,10,1,813.003243191
C,2,10,1,343.2998242566
C,3,10,1,341.7885958641
C,1,10,2,806.8448580806
C,2,10,2,344.3846868957
C,3,10,2,343.8956110532
C,1,10,3,803.0313202055
C,2,10,3,345.5915908261
C,3,10,3,344.2943623921
C,1,11,1,801.3009154713
C,2,11,1,345.8786308995
C,3,11,1,345.4564933493
C,1,11,2,796.0608385679
C,2,11,2,347.3469846885
