,T
0.1,300.5760254534
0.2,308.4277179858
0.3,314.2094996211
0.4,320.2947248707
0.5,325.9643984016
0.6,330.4403261995
0.7,335.3440240277
0.8,338.9528977379
0.9,342.4176614208
1,345.3949761708
1.1,348.1154154468
1.2,350.8260144465
1.3,353.6373905132
1.4,355.0674707838
1.5,357.0030295409
1.6,358.5579379313
1.7,360.0392458488
1.8,361.6468733453
1.9,362.728181696
2,363.4023370214
2.1,364.273434969
2.2,365.4282355793
2.3,366.1080262185
2.4,366.6143885842
2.5,367.3331522006
2.6,367.8190529746
2.7,368.4045295224
2.8,368.8867816054
2.9,369.3037317851
3,370.0526580236
3.1,369.3032562616
3.2,370.4270540744
3.3,370.5182802521
3.4,370.9221427397
3.5,370.4079301321
3.6,371.1643001055
3.7,371.432885125
3.8,371.7084176094
3.9,371.3315664109
4,371.9456502077
4.1,371.7633641506
4.2,371.5355363576
4.3,371.9192041007
4.4,372.1986448361
4.5,372.394852788
4.6,372.0762231563
4.7,372.0563439738
4.8,372.2164485103
4.9,372.5977590375
5,372.4705397501
