,A,T,Tc
0.0,1000.0021735401608,293.1017838966093,293.1546701338798
0.015505,995.4090016488728,294.50774784262035,294.06910205933053
0.064495,981.2237943372193,298.4191907342819,297.8984620469097
0.1,971.2642956755412,301.1885729018237,300.5879228064972
0.115505,966.9964983968049,302.20310595331586,301.84999143531877
0.164495,953.8599811291484,305.76336474640715,305.22723503775853
0.2,944.6625829745949,308.3047041315594,307.8009606717077
0.215505,940.7330162876958,309.38106024081054,308.8565469834307
0.264495,928.6564902071439,312.58831453598305,312.06507419562405
0.3,920.2277170570151,314.8529044887221,314.14219990282135
0.315505,916.6331346618462,315.7631479977321,315.21312231375475
0.364495,905.6047296647307,318.7266169633322,318.1314628283876
0.4,897.927993932793,320.81934768063803,320.10058718330566
0.415505,894.6567613759285,321.5392538602123,320.8936011726901
0.464495,884.6422941479995,324.15069180205506,323.46149073640413
0.5,877.6808869874789,326.062113099106,325.3392564773596
0.515505,874.7203479597046,326.7679542156114,326.0963772311302
0.564495,865.6675696788147,329.2224380075014,328.3913439383952
0.6,859.3883858607652,330.77659313701247,330.0912512459476
0.615505,856.7173714449436,331.5422146721197,330.77317007580194
0.664495,848.5635744088308,333.66889269855454,332.8323673109961
0.7,842.916841697998,335.10593114325513,334.385717997677
0.715505,840.5182912474858,335.6771611814649,334.92028678713825
0.764495,833.201368614653,337.6750161191086,336.9558682785142
0.8,828.1400138584307,338.8965896546378,338.25278718563555
0.815505,825.990926876039,339.5577138205583,338.891067743808
0.864495,819.4387621410775,341.1592110203325,340.44895003859955
0.9,814.912726312332,342.5024938624171,341.7025425289613
0.915505,812.9920977715857,342.94044715642366,342.0781542802227
0.964495,807.1432169555744,344.5718791726829,343.7352534452083
1.0,803.1052077902923,345.5649983537365,344.7688660385824
1.015505,801.3920711992226,346.02683342494714,345.2139700577811
1.064495,796.1786775533336,347.41781458400953,346.6042236728755
1.1,792.5823604962249,348.4442289998401,347.46254571888403
1.115505,791.0572402859045,348.66680509467517,347.86517587940216
1.164495,786.417212841693,349.93160337270064,349.1696921762931
1.2,783.2196322190298,350.91593321707063,349.9449435697724
1.215505,781.8616569315441,351.2447605118565,350.2375291240645
1.264495,777.7390510195133,352.3587297504993,351.52838037442166
1.3,774.8993946953926,353.156927023351,352.2935558124435
1.315505,773.6944554848368,353.39561237172234,352.5388371631829
1.364495,770.0333469057535,354.33059836298753,353.4982389008138
1.4,767.5125170142879,355.1244255954106,354.24617665298763
1.415505,766.4459995584454,355.4273450441404,354.53630290880074
1.464495,763.1989527029849,356.40208256924774,355.36962515271273
1.5,760.9642849073616,356.86365888291283,356.0664501238595
1.515505,760.0174050438079,357.21831464123795,356.4031079714024
1.564495,757.1391595656424,357.9144776105964,357.1000386212286
1.6,755.1556276079184,358.5513746293818,357.70552885533067
1.615505,754.3193565136686,358.7898445337612,357.7592790503734
1.664495,751.771037205658,359.49167385325904,358.4930953882012
1.7,750.0165661083427,360.0233552112084,359.0565836229932
1.715505,749.2733019103657,360.1749824776935,359.23680211135263
1.764495,747.0136844745384,360.71110392223784,359.983965063475
1.8,745.4610344325542,361.2853886249802,360.2162386502786
1.815505,744.8042606556953,361.3853031392342,360.60558377554383
1.864495,742.8047858200188,361.93234984903876,361.0652316398371
1.9,741.4289034351035,362.45266303538887,361.57111771548483
1.915505,740.848172302426,362.53792840248224,361.70000458410675
