,A,B,C,D,E,F,G,H
0.0,0.49078674437041037,0.0,0.0007654159200234477,0.0,0.0,0.3101200600632521,0.5256954165626377,0.04869046551479531
0.06202,0.501898357760433,0.0,0.011434451038204618,0.02851379456887903,0.0,0.2742900992802573,0.4853985449333166,0.026105464127432323
0.25798,0.44531635707659484,0.005521675722154399,0.02129784472471163,0.08065469031749482,0.01573980423759567,0.30422387421536323,0.4993246339338212,0.025988278587791847
0.4,0.39042838264095764,0.03365907169879385,0.0,0.06874146847265696,0.01030752894299073,0.2540439518723505,0.518713257247288,0.0
0.46202,0.35958554865204745,0.0,0.0,0.11927910981210088,0.026704293668823462,0.2896218374376475,0.47522714824352114,0.016912695291908374
0.65798,0.3234415458648263,0.09594864610343562,0.018932065002204127,0.11573127980648769,0.0,0.28151258752388536,0.4492276615644866,0.017771812349420196
0.8,0.2594892608400212,0.028413146543608866,0.0,0.14577712921589472,0.0026958458284177932,0.2633383409200414,0.45449054782135917,0.045601147666487304
0.86202,0.28756380703070467,0.09459110153821636,0.024286576231962648,0.14021649490621535,0.047884147142140086,0.25834568058709906,0.48629055741733546,0.02262807245888631
1.05798,0.2240494653890151,0.08389405087934987,0.00144801693271812,0.1691909048050142,0.02428772725142672,0.2816541708992943,0.4591387437070392,0.02345966534951318
1.2,0.2379258466838243,0.0843041609177073,0.0,0.16799991144812618,0.031096483439370985,0.2572816452669808,0.43589971017967244,0.054402651727162486
1.26202,0.2009571013306109,0.11979253356878458,0.0,0.12845045224389157,0.018512237077675603,0.2574586193496967,0.42174884833044696,0.06820105505183974
1.45798,0.17329243326267565,0.10656248678482484,0.026953451218863653,0.17455147396024334,0.0,0.2633967461069751,0.475926223929574,0.03770638309743636
1.6,0.14481382868991866,0.1331869829567505,0.0,0.16340663466903652,0.016637266847245265,0.2276159974412171,0.44693114318971383,0.04410361590246775
1.66202,0.16213183935308134,0.1447606636120075,0.01883094527190518,0.1713758356145066,0.0,0.2714439956058945,0.44681875474295407,0.05149083499936298
1.85798,0.13013391576967645,0.12993388912146703,0.0,0.16522494301952154,0.027780269566712326,0.28155950846614264,0.44988835398774624,0.08236238578966375
2.0,0.13222827858196481,0.15040247746989804,0.0,0.1971587028026975,0.016674580403156725,0.26300269511079494,0.429064901077111,0.07092949217820071
2.06202,0.15979479809819028,0.1048970208341345,0.014363916350235439,0.21725553447100876,0.037971475545151456,0.25394371175988895,0.4518638856445603,0.08265929536561986
2.25798,0.0903803147279898,0.1304137015652214,0.046800340681697056,0.18399860779813487,0.046831536874755234,0.22886293239844677,0.47340172112166906,0.0481362593587274
2.4,0.06975198856805866,0.13550203024017193,0.0038939929199357046,0.19051150228639596,0.036052581231147525,0.23503726728813634,0.4152533944514961,0.0803275291282641
2.46202,0.07351820046088424,0.1493191467090608,0.0,0.21690274494188402,0.006523655108254974,0.22884074953934555,0.4140029619262839,0.07899161249771211
2.65798,0.08104973817512158,0.11707943951092697,0.0028428682694384283,0.21078381375495797,0.006706340982406356,0.23141252292359557,0.4631269536590238,0.08833141946709099
2.8,0.07827505070913983,0.14075541996231503,0.01913331363630099,0.18878877700477098,0.0,0.20666834192281583,0.39412790222287514,0.05588572347717692
2.86202,0.07711150239628417,0.1127224554282808,0.0,0.1893642823353031,0.026088503193735523,0.24022940591489758,0.43140669593169106,0.09148727259805675
3.05798,0.06446399818790102,0.13444535167131227,0.0,0.19557506457659835,0.04109118482762205,0.22748142710352082,0.4051154030318602,0.07982346297468743
3.2,0.04251228517700562,0.11278304519635948,0.04155763199518707,0.2071826508672869,0.03902716636710589,0.20879949277355642,0.41049749072571606,0.06764884811127032
3.26202,0.05249393958919128,0.12911901072369888,0.03100737901024189,0.23629956018397025,0.043624521436130846,0.2201281866742698,0.42004078205146433,0.0806978927842604
3.45798,0.054191990371144486,0.12200791778844006,0.022813716344969998,0.2170103481691426,0.05262549554233012,0.2206118990373767,0.40373045595194484,0.0615674181224099
3.6,0.03193290073401271,0.12353978556170837,0.025755917798948272,0.18844720850120392,0.04192865284410859,0.21257686124714895,0.3924584543006396,0.0778279980999548
3.66202,0.06425337759682001,0.10954315122858704,0.0,0.26410723087296845,0.04004179016307412,0.22777620135711213,0.4096353857816801,0.07354055774849375
3.85798,0.030536426843374258,0.13038952550486518,0.03412733978442898,0.16977060579238182,0.04981819117467463,0.20341511361721662,0.4206418338651147,0.08213781003513354
4.0,0.02541719364639136,0.12878235690452525,0.05115916702885274,0.19256722392573836,0.00951201596161922,0.24582777071973386,0.3907457913513206,0.052144491512200804
4.06202,0.030277717433040512,0.08566023491627259,0.024673053225373567,0.21361288163533101,0.07083809947748398,0.211835356724646,0.4391547666378782,0.08289586621151149
4.25798,0.04651350566241394,0.09367993103046698,0.035253078184757855,0.24493664872400223,0.03999743941836358,0.1880011495529836,0.4139768353818948,0.11638141605062964
4.4,0.0042566185971984645,0.11018152001892528,0.04014849694260144,0.21050040425502373,0.04825457849799187,0.18426641803482535,0.380273102358666,0.08764037482298737
4.46202,0.037315689068615564,0.07936304862355785,0.003004162536690374,0.2076422286321014,0.028900464426719376,0.17352107152688487,0.41528168542160127,0.07349754511352427
4.65798,0.0,0.13144738681064827,0.03496491122198153,0.20575643373974223,0.03424108951855769,0.1796213927179371,0.4126100814872646,0.1432850607975102
4.8,0.046590677462723024,0.08992948646504786,0.012903309113914482,0.20471755751345763,0.07650187244399587,0.19371578802124087,0.400643970870585,0.08104857188842542
4.86202,0.02478365684966866,0.1038694948223121,0.05031948050390962,0.17733228406184276,0.047251142562936506,0.1934411117096762,0.402648873406689,0.12567942079984143
5.05798,0.024495953282058402,0.0975065848543246,0.0,0.18330268413655362,0.05121398749736217,0.19458966627374433,0.37776866335645753,0.12556678088931772
5.2,0.009474511059900716,0.09815624383434318,0.04818455611858338,0.21114104986447324,0.0658207685066797,0.16761086791941282,0.38126025437445016,0.12156677787542226
5.26202,0.018491059708336165,0.11038710625118053,0.0,0.2221342520277237,0.08411261433418249,0.20461579224857088,0.38331323645401333,0.12337559142110154
5.45798,0.017536736409209063,0.06664519528489973,0.01979712627743543,0.19459872251539292,0.03622672764953233,0.17137004924295546,0.38213337015676646,0.10486343587960334
5.6,0.015553746976753585,0.09690226524872399,0.006074646695287938,0.21139401190658488,0.05877042757329798,0.21319535910404855,0.3847539149130335,0.15624299206253417
5.66202,0.011194314908043191,0.0972698475465659,0.04148053753891934,0.23001807335537736,0.05326502069022431,0.15572325141451412,0.3826554345506456,0.1208637011570468
5.85798,0.01007073333214155,0.09481621411743266,0.04116280249401191,0.18691951353660913,0.0512346594112597,0.17484301090939217,0.35474396500509203,0.12018578219313175
6.0,0.0,0.08742833410270176,0.07021729349803321,0.20027806480538557,0.06624175064106541,0.18746883315446533,0.34645179739743226,0.1014484361907236
6.06202,0.045600329345334124,0.09972607362867349,0.0,0.18316040768807348,0.03951914772242731,0.17491926549987405,0.3329591651297972,0.14533164222307435
6.25798,0.0,0.05257930286740044,0.029227491981434782,0.18286806944017542,0.08996969626440908,0.1642644876786175,0.37917585946471666,0.11739477510980459
6.4,0.0009288691734934944,0.07788337765364693,0.040542305026108574,0.1445326712076238,0.08092138973552601,0.1607038838472931,0.37243477751451415,0.1389567487020988
6.46202,0.035582898378247116,0.0858666290736151,0.0036375376630375864,0.19102563250807805,0.0514004332403845,0.19960363414219612,0.3531075431656177,0.14993483827443335
6.65798,0.0,0.08663356092025015,0.012530317227380803,0.21112041012112465,0.08624228698337306,0.16154428168284046,0.3743913303972575,0.14554700358379455
6.8,0.0,0.09394003436974567,0.027993228571487293,0.2050967281470054,0.09167928660061045,0.19580472748241298,0.3511933482894283,0.1713939799037452
6.86202,0.020751997934973374,0.09309385524351595,0.009383827608344837,0.2182490071022875,0.060121678476931714,0.1680243794008657,0.33901140024675236,0.14494969934894253
7.05798,0.007719937006223365,0.05645851011835404,0.03161097640711344,0.11193487098633653,0.10788627966680951,0.17790900628832243,0.369979466504723,0.11744574305851285
7.2,0.02025330478828329,0.04464538996860226,0.011579964630534373,0.16357669085703794,0.07080430294166833,0.14309910958031682,0.35852648824107464,0.12686494125738235
7.26202,0.021831033095711633,0.05971925938191392,0.041789794609894515,0.16704889497709016,0.0977719605232392,0.17480163267282214,0.3809622957069081,0.13816753536853243
7.45798,0.002063788257615967,0.06519025302321063,0.05762958108861625,0.17289673742701406,0.07488321381486196,0.1779081955405779,0.3655694900957953,0.13516433083309715
7.6,0.0,0.07224705987005234,0.02965119407691626,0.18175862406489324,0.0755453649271699,0.17502660952080945,0.3493445054912615,0.11946421200685257
7.66202,0.017787737918174375,0.08475435735655286,0.032297450538841976,0.1689196019203652,0.10181527775734216,0.14770537161181224,0.3340263242761299,0.12475884792543007
7.85798,0.0,0.03444638921117221,0.0,0.14827549059898087,0.0942227340939473,0.17822240978902631,0.35912032852706605,0.14755447175087077
8.0,0.021499924259846818,0.0700824341085836,0.03865000816664377,0.1562335850697987,0.07558671719607264,0.15616557501552183,0.3810225690397596,0.12225311467132609
8.06202,0.0,0.06967433543844612,0.012811976773971528,0.11664826972913167,0.06217990079748504,0.13446619692801087,0.3437452130094851,0.15083257104694944
8.25798,0.003954666918380293,0.053435284690071534,0.020319478819362424,0.13845390936336813,0.0651089153272029,0.14862700038320747,0.3787143809108865,0.1566684284240361
8.4,0.0,0.044142502354245924,0.0,0.14717838417912568,0.07236670866489503,0.14199529229407948,0.3274581889228575,0.13973060721154837
8.46202,0.04039359766639181,0.06363995464866702,0.005346347585655107,0.14464346599237818,0.09640129359898464,0.1666445943113444,0.34847259959769256,0.1558206701773962
8.65798,0.03052996222038867,0.027171162900979706,0.017495082216498654,0.15928533989296395,0.033921536689639535,0.18145089716372698,0.40921515128943636,0.1858698725771466
8.8,0.0,0.04805492547118892,0.0,0.1644389127726429,0.058412039164577684,0.13118078899081742,0.33795874957540745,0.16628908016406457
8.86202,0.0,0.058027150807112876,0.0,0.12866305604513165,0.06451122226650564,0.10236503431123266,0.3524066043316708,0.17016594090012857
9.05798,0.011180461924380882,0.02755860917126468,0.0,0.14211864473552088,0.06985175220731384,0.10951306456148668,0.33858343306360084,0.14772044842859178
