,A,B,C,D,E,F,G,H
0.0,0.29602043440916814,0.0,0.02364106696804293,0.08554847464563507,0.04251782749848002,0.5053826280435151,0.7944533029248192,0.055786312707124724
0.06202,0.26636268618512626,0.0,0.008199849949910498,0.10976220016765911,0.0409026030058144,0.46070744052420093,0.8009655283342003,0.0
0.25798,0.22763563705318007,0.06625265421853233,0.029404606794360102,0.1655206730401042,0.038466788119169704,0.4268316914402722,0.7572297492411101,0.02088272218289564
0.4,0.20307305654436214,0.06091596469334394,0.005292513648539234,0.14927631351092788,0.0,0.45680034479365994,0.7829581478704611,0.0362736922957719
0.46202,0.20344959924277176,0.05458615469952105,0.0,0.13104303075219312,0.0,0.3964309420323332,0.7412788990842984,0.0677943912110202
0.65798,0.17236396874038573,0.05534322450630431,0.0,0.16243416408724767,0.0023759709915306187,0.41648660497480844,0.7127721496445142,0.09312093652481787
0.8,0.20207771500604715,0.05164243134404798,0.004379878943453789,0.18573739840592693,0.011895131400014707,0.40746047729543344,0.6712040554382251,0.08932174195207038
0.86202,0.15048004584888175,0.04766287827827242,0.0,0.13975447475945296,0.02361348513684487,0.41772997097516795,0.6908491505650004,0.10745780650244376
1.05798,0.15287712972798548,0.04842047379643109,0.0,0.16924356447021402,0.0,0.35382572019245256,0.6554880651242283,0.11318921088903933
1.2,0.10153156106560093,0.03805237387890461,0.0,0.17761603314341204,0.011426243810358117,0.37076496053910624,0.6780261967219885,0.13589025409928757
1.26202,0.10742700846872909,0.0455915253907856,0.0,0.18962519145742862,0.0,0.3685401720386549,0.6396487907224356,0.1433843551650003
1.45798,0.07643970405698106,0.04055878747967164,0.0,0.18263055797184083,0.0,0.32270349929641207,0.6563345956228811,0.1504952213586299
1.6,0.11950075473841693,0.06742910956086923,0.01128357313090815,0.18060663303429927,0.0,0.3767124606709279,0.6390372105071778,0.15301744494334102
1.66202,0.10868990130523876,0.08864848171454613,0.0,0.23625382604401118,0.0,0.35345048110237837,0.6371271140434357,0.13703415289605408
1.85798,0.12331043156830684,0.08847307848131788,0.007932369787449621,0.20982547914287558,0.024770446701828763,0.30452835368156234,0.6048349817259852,0.20958320986777362
2.0,0.07502784716904737,0.0830545629917348,0.0,0.1902806517792921,0.0,0.3007098482776226,0.6424345942030848,0.13391551921258713
2.06202,0.03605458430804075,0.07272474066134609,0.0022765939254105723,0.17549095595033917,0.020149644168338227,0.31939386371730444,0.5973318775471923,0.17424925487780893
2.25798,0.06344619476684214,0.06250057726047101,0.0,0.22554772236641957,0.017297518013380447,0.2769475898316843,0.6038727931816467,0.18911383393688705
2.4,0.04845697157383128,0.09780011070444976,0.0,0.1819868867426938,0.039163232406258255,0.3366604237588254,0.5620013077071384,0.20342409294046654
2.46202,0.03804816054146642,0.10320307670180436,0.0,0.2503506741285839,0.0,0.28544386637943736,0.5575608999025353,0.19179404461719493
2.65798,0.04435026592481969,0.06649793035048275,0.029392407838440115,0.20794175002962287,0.027696010399235086,0.2718094588703215,0.5620311071819128,0.23732137671190678
2.8,0.021727044004318973,0.09596027330537914,0.023011411997511555,0.18397971623485923,0.010195628338229797,0.27861347374060563,0.58390901940049,0.2197231608753876
2.86202,0.058600438706326544,0.09023247476197245,0.004385883919379102,0.23310831316251626,0.039891222697183704,0.27551831296332113,0.5513759460938815,0.22220967097730165
3.05798,0.02967739454625636,0.06759217298627172,0.003119296775178691,0.19102642217011354,0.01506598514206984,0.27713211734577,0.544898690832786,0.2568011860462786
3.2,0.05685478902997348,0.061764149526809045,0.038130210601986306,0.22250472343526484,0.06740804152388283,0.26745695890589766,0.5327194586797722,0.24729792378428284
3.26202,0.03458941123909188,0.04097249912504427,0.003007061797980987,0.17987893067959687,0.020640376980402095,0.2506582195267538,0.541237339964883,0.3033767534580992
3.45798,0.03248506767844578,0.07561731976705242,0.014112660483677047,0.19357358854670534,0.012659480081346644,0.2284792346307727,0.5315474714506727,0.2763053033314779
3.6,0.06466483213780218,0.056323607385707,0.020243913402748014,0.20796485274930443,0.031767788707098045,0.25328451399935836,0.5496713137911737,0.21298305883260324
3.66202,0.0,0.08346086185646621,0.03656372781120755,0.1897850087710404,0.030241729252183644,0.2829427666088529,0.5250071370268808,0.27809284552248015
3.85798,0.0172622309072292,0.06106831704031109,0.03170818895369195,0.23021020451539845,0.0,0.21796936022785823,0.5096319095220081,0.21278848209928372
