,A,B,C
0.0,1.0009425460245462,0.0,0.0
0.03,0.9917736015771073,0.00958316751187552,0.0
0.06,0.9829299551253322,0.018504812735669826,0.0005974183080743648
0.09,0.9731376242868167,0.02741725152349998,1.7156559227493638e-05
0.12,0.967336352627604,0.03519910704421452,0.0
0.15,0.9591268413471368,0.043188944319680705,0.0
0.18,0.9486016585324669,0.0517151193397914,0.0
0.21,0.9400229110035024,0.05915303486629138,0.000319335081894179
0.24,0.9316329355750272,0.06651487253834547,0.001500200595194443
0.27,0.923296824848812,0.07613712326211791,0.0
0.3,0.9150886219068893,0.0840002035600096,0.00010940136867259844
0.33,0.9068434549406054,0.09278644615293744,0.001460793524505798
0.36,0.8978766165831514,0.10126348302733716,0.0
0.39,0.8905772137977346,0.10718847569351439,0.0022478015107733865
0.42,0.8815727495946974,0.11623917529831987,0.0013520473303367108
0.45,0.8739966404681323,0.12362369026520663,0.0016229943131816937
0.48,0.8663857366726204,0.13046348429832294,0.002478746534050012
0.51,0.8580510872473713,0.13937526032752104,0.0005795751121622142
0.54,0.8529530252444382,0.14857799266885693,0.000704265360073494
0.57,0.8422416829176326,0.15504050556746832,0.0006703813137717771
0.6,0.8368588036356674,0.16108711323683203,0.002875772307602095
0.63,0.8289671696125727,0.16775555416627586,0.0006418078469684324
0.66,0.821043879093219,0.1756550277376922,0.0008227170331145438
0.69,0.8135917878184918,0.18060714262103678,0.005736407389828314
0.72,0.8082080510916313,0.18879610148224477,0.004660805702317721
0.75,0.7987960080049683,0.1942846966752977,0.005708195146210804
0.78,0.7918411906832827,0.20276511005809664,0.004113641835702858
0.81,0.7865689506690755,0.2091712842550624,0.0062493295383548855
0.84,0.7792166688941564,0.21567006070853695,0.005414225033588461
0.87,0.7716021540171033,0.2221386976938031,0.007277396519486446
0.9,0.765422751349276,0.22732561962864561,0.005330238572973195
0.93,0.7575068035208803,0.23498436724053942,0.00195143061119306
0.96,0.751564993579401,0.24257092531706373,0.005062688120291895
0.99,0.7444361199630752,0.2489910651812899,0.005150444934880776
1.02,0.7398021465818302,0.2537481430161036,0.005407239244848132
1.05,0.7327062949836488,0.2625308608354063,0.004512031528114118
1.08,0.7239048626963147,0.26455051800794527,0.009527512239881518
1.11,0.719316549174564,0.2705476612548256,0.008169917631980493
1.14,0.7135838758676237,0.2782716837304598,0.007979945011422062
1.17,0.7071421676819997,0.2849535671629277,0.009244473139433468
1.2,0.7013610118113912,0.2918489805748669,0.007655950023329875
1.23,0.6945827130112389,0.2943560632694086,0.010110032685796865
1.26,0.686687131403356,0.30325489918212895,0.009354631581602298
1.29,0.6839889471160587,0.30973867777770564,0.007737127806949925
1.32,0.6767054918543913,0.31487751150064375,0.009122082823039319
1.35,0.6698815127450045,0.32140730851361,0.008906424085332624
1.38,0.6643883878400539,0.32316498205153893,0.008839871168104562
1.41,0.6564686712737213,0.3309994639231382,0.008466652230843237
1.44,0.653954591870481,0.33479785109817506,0.01034682881714606
1.47,0.6484144946419226,0.34222013997041173,0.010669153379401362
1.5,0.6427279173071764,0.34909531525054477,0.014535145318477768
1.53,0.6377469716832644,0.3517281514217269,0.015169086355624174
1.56,0.62961419869665,0.35975876796336903,0.015491159206523077
1.59,0.6265701008401927,0.3622530272980677,0.017529138707588994
1.62,0.6196544814421975,0.36761765912435074,0.015963156567573567
1.65,0.6139322739172945,0.37512831786579465,0.012443742513822539
1.68,0.6089306700097278,0.37898506476983795,0.017300167765560846
1.71,0.6030324396015156,0.3840323466015336,0.019287768848495163
1.74,0.5976868841405892,0.39040443722121343,0.017916545480114583
