,A,C,B
1.0,0.075145966444,0.0902530299103,0.0806308314685
2.0,0.0750156057686,0.0891758448338,0.0787587246935
3.0,0.0769051960131,0.0877547910283,0.0762042635443
4.0,0.0783169656585,0.0866707696481,0.074146204042
5.0,0.0830451852391,0.0851842917183,0.0717427236849
6.0,0.0869993331926,0.0837134320342,0.0702271454849
7.0,0.0839776310355,0.0821349322413,0.0683454370006
8.0,0.0858760750893,0.0803074724964,0.0667579338429
9.0,0.0882321491951,0.0796273956,0.0657610166982
10.0,0.0878440364881,0.0781468222037,0.065142921717
11.0,0.0843957806466,0.0776405518801,0.0653220481586
12.0,0.0823148725577,0.078571836669,0.0668974301111
13.0,0.0788815982867,0.077383259628,0.0683800044836
14.0,0.0764047277279,0.0755056253534,0.0689387357979
15.0,0.0766242937776,0.0751674525526,0.0697174904434
16.0,0.0781018721452,0.076092841201,0.0699090109745
17.0,0.0793465819064,0.0766078418003,0.0703169127566
18.0,0.0788232499164,0.0767605729296,0.0709655441553
19.0,0.0777314814231,0.0773089545484,0.0717367832833
20.0,0.0783971019293,0.0780788780387,0.072569640734
21.0,0.0791753163031,0.0777526505509,0.0729760936664
22.0,0.0775912524443,0.075416180489,0.0736758198511
23.0,0.0750411109163,0.0737858894452,0.0732932527246
24.0,0.0736053173227,0.072902499209,0.0735030201968
25.0,0.0720577613449,0.0722065579844,0.0723946320745
26.0,0.0708279680863,0.0704491398794,0.0728986569704
27.0,0.0702850308203,0.0694075050808,0.0727893934985
28.0,0.0702010195625,0.0687373799182,0.0726120217233
29.0,0.068160180565,0.067828371627,0.0717101346339
30.0,0.0680968083583,0.0656236430619,0.0704735349624
31.0,0.0661765132908,0.0636363610184,0.0696613924703
32.0,0.0648984558622,0.0625102210524,0.0695784975561
33.0,0.065319649457,0.0615000126445,0.0703774386691
34.0,0.0644632122351,0.0611486144673,0.0716205289092
35.0,0.0650916476014,0.0619263011387,0.075438556815
36.0,0.06736464404,0.0646158365206,0.0811361356928
37.0,0.0714374079688,0.0685811490366,0.0895409590184
38.0,0.074061854606,0.0747504714872,0.0973555128185
39.0,0.0756630449335,0.085055537923,0.10193236989
40.0,0.0778010494111,0.096533327268,0.104603476822
41.0,0.078331339787,0.10042682945,0.104088395724
42.0,0.0762805947704,0.0947623386019,0.10277002836
43.0,0.0739430284086,0.0882462900271,0.100186844816
44.0,0.073162203195,0.0849537990886,0.0975203865976
45.0,0.0723818236212,0.0844584053707,0.0947597493533
46.0,0.0735115431638,0.0851511750843,0.0926556712427
47.0,0.0747731187881,0.0865395075181,0.0904056395378
48.0,0.0775390627414,0.0871657730604,0.0889414589662
49.0,0.0819166979169,0.0871437137767,0.0884991602256
50.0,0.0873354733483,0.0876290704234,0.0881721985888
51.0,0.0960863277083,0.0889904177524,0.0887489854238
52.0,0.0961857889652,0.0899475446152,0.0916623816467
53.0,0.0989088640188,0.091813831905,0.0956768157905
54.0,0.101394182997,0.095163984014,0.100462732112
55.0,0.0998357673756,0.0992573062404,0.105042535493
56.0,0.0955362106106,0.104900222872,0.109601696325
57.0,0.0982039129284,0.111371469237,0.11354089437
58.0,0.100996264732,0.117182793611,0.117654015098
59.0,0.105198883774,0.12199204844,0.120342390402
60.0,0.107513146165,0.125437442286,0.122180212895
61.0,0.110946564961,0.125746545795,0.122440041655
62.0,0.116320609565,0.124665636568,0.122838365106
63.0,0.119569095703,0.123969750622,0.122837171669
64.0,0.121207978969,0.123247428612,0.120627653418
65.0,0.12385331883,0.122912035269,0.118311202735
66.0,0.125337627933,0.121827272752,0.116149852639
67.0,0.128695693249,0.12032425732,0.114028718235
68.0,0.127467234618,0.118653424326,0.111867014079
69.0,0.124388193893,0.116985783936,0.110485282625
70.0,0.122681953289,0.115694985277,0.108915061482
71.0,0.122311958633,0.114208763625,0.107712537115
72.0,0.121090235319,0.11116318698,0.105638743049
73.0,0.117571571141,0.107939189331,0.104759192787
74.0,0.11439253511,0.105032589193,0.102931052931
75.0,0.112236174379,0.102248128941,0.10201286701
76.0,0.110211553595,0.100091015247,0.10088810289
77.0,0.109212859122,0.0981279872841,0.100636919776
78.0,0.109598590862,0.098177214183,0.100747329761
79.0,0.111958887928,0.0986203695747,0.101857600533
80.0,0.115632679827,0.10506461342,0.105579335273
81.0,0.121882758321,0.113860183802,0.1102985635
82.0,0.12690052781,0.114858522104,0.117393044666
83.0,0.127591975431,0.117630636916,0.122546143175
84.0,0.125143037765,0.120200145623,0.124042783491
85.0,0.121557886916,0.120183107191,0.122898049963
86.0,0.120926033658,0.120587960558,0.121971931194
87.0,0.127219309326,0.121604436729,0.123117654584
88.0,0.134176812776,0.126445264664,0.125652470054
89.0,0.137956689518,0.130811957665,0.128502106566
90.0,0.140464423897,0.13135297425,0.130245807118
91.0,0.136321868913,0.129714665378,0.133314962589
92.0,0.131197948271,0.130771255869,0.134224604597
93.0,0.126560072131,0.132922632003,0.134315944774
94.0,0.124602268008,0.134396400181,0.134488353876
95.0,0.120945820885,0.133966885259,0.134054754768
96.0,0.125443674307,0.134088158637,0.133698885752
97.0,0.129841213633,0.131593754203,0.132816822779
98.0,0.130489614179,0.129604401203,0.131281867319
99.0,0.127945685624,0.128986027509,0.131550988354
100.0,0.12773821784,0.130250368531,0.130536023062
