,A,B,C,D,E
0.0,0.2961577521167081,0.0050996023939166215,0.0,0.012170735623672838,0.0008460904417250211
0.03101,0.29274778836641463,0.010935361434251735,0.0,0.010322551261029135,0.0013180352534914847
0.12899,0.25415047118744816,0.03379415885383463,0.003003291146597472,0.020727735674221138,0.0
0.2,0.2294630446581066,0.052050282911737425,0.0004995520283168631,0.02772354041885999,0.0006556434752196515
0.23101,0.22258271434588173,0.059780591836218075,0.002038306985655271,0.028426927689119662,0.003002617579666503
0.32899,0.19359175230676617,0.07980412152816846,0.0006834030368981018,0.034564924186251726,0.003050398047926546
0.4,0.1761257817496219,0.09193378226854267,0.0011112335537408848,0.032807903886160325,0.0011919960390087319
0.43101,0.1741964675661127,0.0884099337978382,0.0016392627803626593,0.032149720681182034,0.004974056579124167
0.52899,0.1487685055267767,0.1034178958556443,0.0035714687703012164,0.04470066666436156,0.008083993855520796
0.6,0.13884324048540989,0.11435755626153847,0.004597029080615199,0.04518088044700893,0.006196248731596646
0.63101,0.12905742096071562,0.1137426237875605,0.001807872804936615,0.045309200499887986,0.006508670021161786
0.72899,0.12664388352001552,0.12568692722578517,0.007510469470041154,0.04468544507010477,0.013550582141452525
0.8,0.11050223638959619,0.12747863441614635,0.007087121041245211,0.05625979632681757,0.014863928764699377
0.83101,0.10150570977229223,0.13042058858505617,0.006570127843650847,0.047890287117326485,0.013746647447944526
0.92899,0.08581026560555725,0.14062914227092652,0.005716675842673118,0.054468212222684644,0.020766732698375118
1.0,0.08727752959628135,0.13699568070592816,0.007551414758119825,0.05507885793174543,0.01270544898272861
1.03101,0.07888940636047963,0.14202968565403948,0.003901558269507919,0.053657920112821764,0.023621009670566594
1.12899,0.0679883135299185,0.14905654586274833,0.012682792410195168,0.05570877717089744,0.021099734474012376
1.2,0.06429518923946759,0.14192459946187538,0.011969098414094732,0.04821931838159094,0.023006199332604324
1.23101,0.061410184064281705,0.14766969053612522,0.010718180731243815,0.04947119885712798,0.029177551340418002
1.32899,0.05913561993008354,0.1489373493610563,0.012880843852401774,0.056695921427472526,0.02736003156046314
1.4,0.052219346555224824,0.15027173489094212,0.015534466214372924,0.05825580794582755,0.031785926499428484
1.43101,0.04342777148699921,0.15082424411256262,0.014133631138867295,0.057041570670348596,0.028905043215860446
1.52899,0.044489839287715036,0.14366862686959533,0.01308311596048328,0.05336424676232979,0.02847270298587615
1.6,0.03523750472836441,0.14593096270079864,0.0188960235874019,0.0570808663773571,0.033643829654942586
1.63101,0.0390965544001936,0.15152942281788975,0.011071696735660153,0.060402803656181024,0.03960375001244415
1.72899,0.03079242127087986,0.14569223190877165,0.015634162637109022,0.05914676429166111,0.04177798907113695
1.8,0.03152523052123409,0.15416529964313594,0.014826881890577156,0.059210561607486285,0.04568082537817661
1.83101,0.03225379845083971,0.14233841216451903,0.01894309566130087,0.05329769423504147,0.044164804205601135
1.92899,0.024811011373065954,0.145813084570438,0.013156990788987659,0.05931342554596343,0.04566457574198775
2.0,0.026686427074422907,0.13649742721349903,0.01961740601567764,0.05761475825779333,0.046504123536172996
2.03101,0.01581388213693668,0.14296604528943652,0.016058790278920817,0.055999012332252844,0.04613703517507563
2.12899,0.020198851317350344,0.13928959744582892,0.019531472541282187,0.054439523793209814,0.05420960750717109
2.2,0.017904377916325005,0.1420787090091443,0.024364007855486276,0.048609266870072346,0.05580272183956257
2.23101,0.017069408948871462,0.13781651195881317,0.02257104901930935,0.05345104566793871,0.05575864748163498
2.32899,0.014294511332189187,0.1300406606003674,0.023758807609896192,0.05265905945974457,0.05711445773829214
2.4,0.010253442546297873,0.13485521385219634,0.023644585724878583,0.05496133081228559,0.05955129381741411
2.43101,0.014033777775623818,0.12870401171539966,0.02244520275439344,0.054073152210748564,0.060314134824936964
2.52899,0.009945056332609606,0.12704088079538295,0.022531511120120456,0.0518076384839497,0.06446419284682033
2.6,0.010469377592645051,0.13400023416503348,0.022909751063759448,0.054659452580539176,0.06628890830437029
2.63101,0.00813995443903286,0.12957378131680344,0.02619983317998711,0.05266805257439671,0.06181546409634023
2.72899,0.01138021015101844,0.12062066266579706,0.021793097355993996,0.049577436054694654,0.06419465166528791
2.8,0.01065493968990942,0.11965464922641873,0.021956784857991896,0.05355176958006818,0.06956424443847431
2.83101,0.0067292626873594625,0.1230359828270673,0.031980965994326795,0.05382384857784366,0.0707982715919615
2.92899,0.006403472361276503,0.1216216114614399,0.022190370773837155,0.05013038012872148,0.07148823241514358
3.0,0.006281787306397743,0.1174013103108641,0.023546715428706753,0.051360521476803894,0.07058841633051924
3.03101,0.005231976015764665,0.11143791821613254,0.026563554207256774,0.05052464568665826,0.0773841555740839
3.12899,0.004700115490573214,0.11192497436202581,0.020343811682782667,0.04851771901192375,0.07526805397924023
3.2,0.005098620692225192,0.10844945739368557,0.02241528264292211,0.051227824743948096,0.08056437097112175
3.23101,0.003122054098655524,0.10504398883847367,0.027525638611793638,0.04826927097831161,0.08125314187242633
