,B,C
0.0,0.0,0.00012639585535000395
0.0333,0.0,0.0
0.0667,0.0,4.51507656104703e-05
0.1,9.852833397896783e-05,2.710077045273166e-05
0.1334,1.7987220292272348e-05,0.00013092107984802434
0.1667,6.028387974207021e-05,8.075240766998238e-05
0.2,0.0001170730545700792,0.0
0.2334,9.718302744534893e-05,0.0
0.2667,0.00013646392796668144,0.0
0.3001,7.279615236199082e-05,0.0
0.3334,0.00016659282171242818,2.347387521748785e-05
0.3667,0.00012399116870936245,0.0
0.4001,0.0,0.0
0.4334,2.0689537469714437e-05,7.537523420252039e-05
0.4668,0.0,3.575862260740055e-05
0.5001,0.0001861019549173951,0.0002072903497711322
0.5334,9.803552680592675e-05,0.0
0.5668,0.00026959838609939455,0.0
0.6001,0.00021172014220697041,0.0
0.6335,4.192008506721032e-05,1.016232917577679e-05
0.6668,0.00015512352455462281,0.00016316743166536847
0.7001,0.0001097535515829484,0.0
0.7335,0.00013452547162131416,0.0
0.7668,9.548024066449745e-06,0.0
0.8002,0.000188653539079396,5.4422502402070224e-05
0.8335,0.00013281500874705245,2.4633463489215316e-05
0.8668,0.00017768524280033297,5.8059552814582625e-05
0.9002,0.00022992829540032184,0.0
0.9335,0.00020682385693654827,8.18258577386745e-05
0.9669,6.230591619510106e-05,0.00018258664182353403
1.0002,0.00025130837920124896,6.997617977226184e-05
1.0335,0.00027885134797777636,0.0
1.0669,0.0,0.0
1.1002,0.00012728332091032716,0.00012202241310402417
1.1336,0.00012618129767511915,0.00014443836111612
1.1669,0.00021513098648385273,0.00014492447010333112
1.2002,0.0003507982878589948,4.1425940880460305e-05
1.2336,0.0001632321380778255,0.00014799563745277518
1.2669,0.00019882685952234312,0.00018653035831477495
1.3003,8.987706608442453e-05,0.00013845309528540562
1.3336,6.799740307567401e-05,0.00016795121579190006
1.3669,0.0002834934469669204,6.708819376956783e-05
1.4003,0.00012992320498885008,0.00014623698652566197
1.4336,1.992396584124206e-05,0.0001522535749358848
1.467,0.00015871150568967592,3.657227949585238e-19
1.5003,0.00031269089816847754,5.4847399135100444e-05
1.5336,0.0002412872160468792,0.00012990482833461316
1.567,7.936976525881873e-05,0.0
1.6003,0.00024216762545703938,0.0
1.6337,0.0003363034432439601,0.00018893718476606217
1.667,0.00027998361229974295,6.612244165142577e-05
1.7003,0.0003370607539574503,0.00024043222255007462
1.7337,0.0,0.0001713543051855905
1.767,0.00011866735882134255,0.00010989920749893852
1.8004,7.905339281165286e-05,0.00022232218545883988
1.8337,0.0002723048292012202,0.0001612994068145402
1.867,0.00023164570000841272,0.0003499791297321598
1.9004,0.0001528403267271114,0.00020245220408575895
1.9337,8.019601738838941e-05,0.0002950855427060258
1.9671,0.00013626871369237868,0.00025297160333457653
2.0004,0.00010729282620110723,0.00028991885526477454
2.0337,0.0,0.00023499692636727134
2.0671,0.0001828387989035703,0.00018478094303186714
2.1004,0.00034399361096902647,0.00022661973379120042
2.1338,0.0,0.0002268629722976263
2.1671,0.0003341698299974229,0.0003617106277384256
2.2004,7.282100383508256e-05,0.00029009903759421354
2.2338,9.711619782158933e-05,0.00020217840654886005
2.2671,0.0,0.000347660416510873
2.3005,0.00011657336967681681,0.0002860368051965336
2.3338,0.00019148678012332332,0.00023533967817147787
2.3671,4.3232528123363084e-05,0.00034229729101283057
2.4005,0.0001623292884955952,0.00035626672312358314
2.4338,0.00015181727943666684,0.00023815798090393356
2.4672,0.00014893009820322222,0.00022022173092295746
2.5005,0.0001729250391888767,8.431768311169908e-05
2.5338,0.00026269279829085836,0.0004636459211597611
2.5672,0.0,0.0002861730752052769
2.6005,0.00014586915203319294,0.00030304251881616804
2.6339,0.0002462296967529576,0.00017980186397748056
2.6672,0.0001055683801137068,0.00011866840142120782
2.7005,5.900570371607411e-05,0.0001537067639031286
2.7339,0.00010415591306186382,0.0002648328556492749
2.7672,2.694549681923299e-05,0.0002981982643477523
2.8006,0.00012331222350603016,0.00030148004592103723
2.8339,0.00020368307981163164,0.00023937037627202418
2.8672,0.00041776873715949014,0.00039287722333315083
2.9006,0.0,0.00031637329905694013
2.9339,0.0003344262918150466,0.0002972259774743329
2.9673,1.1604687445202169e-05,0.00041652198266827346
3.0006,0.00014930067215903524,0.00042100389349097417
3.0339,0.00011273912338252084,0.00059734544239601
3.0673,3.189274032735206e-05,0.0004927250620292689
3.1006,0.00018946105056887012,0.0005533247970164037
3.134,0.00014718278697223297,0.00037802089230796354
3.1673,0.0002488290334291527,0.00048548191054727474
3.2006,0.00011671360724932371,0.0003527009777972567
3.234,0.0,0.0005085669405443095
3.2673,0.0,0.0004383184776968626
3.3007,0.00015315128236259562,0.00035714278297110675
3.334,4.0705735387861355e-05,0.0004511426614295831
3.3673,0.0001977730987931913,0.00039701767829861584
3.4007,0.000224302290437261,0.0005106859191640195
3.434,0.00021574980837022178,0.0004984344987329418
3.4674,0.00010718959770757169,0.00029549076811116243
3.5007,0.0002719615989731572,0.00032485601373596895
3.534,0.0002120266359889813,0.00029892849168772814
3.5674,0.0003150811787430128,0.0005105137339676898
3.6007,0.0001490709212471145,0.0006165972610478329
3.6341,0.0001178098168509699,0.0004866943339659757
3.6674,0.0,0.0007456225620107356
3.7007,0.00010096106774860051,0.00045628811614911057
3.7341,0.0002243625799187421,0.0006127404988240802
3.7674,0.0,0.0004814570729895843
3.8008,0.0,0.0003801026118104493
3.8341,8.615388468363921e-05,0.0003665991243820706
3.8674,0.00015115430617613376,0.00043278009193494334
3.9008,7.334229293733927e-05,0.0007144175718108305
3.9341,3.3578549868152566e-05,0.0006102803465438732
3.9675,0.0,0.0002662306874224113
4.0008,0.0,0.0005042938803335754
4.0341,5.229310177644845e-05,0.0005758774060869951
4.0675,0.00021824989471900408,0.0005032455081248944
4.1008,0.00010048542435894627,0.0004609519882560205
4.1342,0.00013864188756042978,0.0003585912784170838
4.1675,8.120165269153408e-06,0.00038274316842129417
4.2008,0.00013562525320528007,0.000482996911964289
4.2342,0.00011992129781556121,0.0006505115122655132
4.2675,0.0001416944665114793,0.0003367670415665872
4.3009,2.263054928378361e-05,0.00048067144112980847
4.3342,1.3962893918746818e-05,0.0005130346058658444
4.3675,0.00010363952297363011,0.0004171424588112643
4.4009,3.662202463479619e-05,0.0005045956155630052
4.4342,0.00018270062058600402,0.0005382519096877123
4.4676,0.00022287277900385615,0.0007896348687983132
4.5009,9.407602658222622e-05,0.0005961002726066218
4.5342,8.72361096149447e-05,0.0005069114766415387
4.5676,0.0001296022779752048,0.0006042620348841698
4.6009,8.343079295164668e-05,0.0004745267389525133
4.6343,0.00014996559442346553,0.00048574424382284476
4.6676,5.106194630595314e-05,0.00037362646755243893
4.7009,0.0,0.000524412180659866
4.7343,0.00012218366963628167,0.0004082010789947751
4.7676,0.00010119914913891788,0.0006124106946740375
4.801,0.00011365559566230948,0.000508150309245834
4.8343,0.00020881341064478128,0.0005150525732132557
4.8676,9.688379636696009e-05,0.0005261818601953283
4.901,0.0002842549533708774,0.0004558613923211027
4.9343,0.00010654460977767864,0.00067527775205927
4.9677,9.0867663800009e-05,0.0005623499197421025
5.001,0.0002286838260342776,0.0005341450177404913
5.0343,0.0,0.0005542178617496275
5.0677,0.0,0.0005172697076255614
5.101,0.00032503994434114207,0.0005963532079016758
5.1344,0.0,0.0006356619439693351
5.1677,0.00014884973599769307,0.0005055106285188259
5.201,7.285843037243508e-05,0.00047977318857364147
5.2344,0.00019959758649477474,0.0004272144818699878
5.2677,2.8704860023790954e-05,0.0007187064804148099
5.3011,0.00011398180939900865,0.0005758687498950822
5.3344,0.0001184519192851066,0.00047970995131930104
5.3677,0.00013265465263014273,0.0005557170431164808
5.4011,0.00012451219382483494,0.000641310996751073
5.4344,0.0001057935241685435,0.000542539491916072
5.4678,0.00010268444567642355,0.0006515780240731654
5.5011,0.00025646453511160317,0.00038973672964016134
5.5344,3.776512330938223e-05,0.0005358741464059257
5.5678,3.234687654794102e-05,0.0006193507573119672
5.6011,0.00019739790984220769,0.0005813108094464979
5.6345,0.00010128593977702984,0.0006630885505825706
5.6678,0.00014888927815207486,0.0005907577021445926
5.7011,5.7080461650619454e-05,0.0006167815793558096
5.7345,4.470057079575624e-05,0.0007155463364849011
5.7678,3.49045307457835e-05,0.0007112503950674322
5.8012,0.0,0.0006247401606442602
5.8345,5.215261225863255e-05,0.0009072991049634571
5.8678,0.0001214041023984775,0.0007593505807434107
5.9012,8.739503815884844e-06,0.0004887670475057355
5.9345,0.00025833104690462715,0.0005909207425415404
5.9679,7.246241884494165e-05,0.0007170373649813794
6.0012,0.0,0.0005924124438411375
6.0345,0.0,0.000645606018246951
6.0679,3.0930038316373434e-05,0.0006305200702739833
6.1012,0.00010624018839902049,0.0008177871922861293
6.1346,8.739174631073003e-05,0.0007809013044095042
6.1679,0.0001354988551452876,0.0006762623245291835
6.2012,0.00011747119887701445,0.000666036880155051
6.2346,0.0,0.0006944404258575581
6.2679,0.00027576451549924405,0.0008356174612892998
6.3013,5.640237586622015e-05,0.0004251676088879264
6.3346,7.168208958501242e-06,0.0007687220304467956
6.3679,0.0,0.0007483602289129071
6.4013,0.0,0.0007952544185047361
6.4346,0.00014805684447953324,0.0009402883298520151
6.468,0.00019808791909209985,0.0008120769006091322
6.5013,0.0,0.0007892318002522887
6.5346,4.368746752784736e-05,0.0005052471841515024
6.568,0.0,0.0007938966627210458
6.6013,0.0002991072034575363,0.00071693271959803
6.6347,0.0,0.0006593177866969795
6.668,2.442342455914761e-18,0.0006733960275722657
6.7013,9.156944368162228e-05,0.0008083204118094608
6.7347,0.00013300096253175957,0.000603010145471238
6.768,4.2704600004601236e-05,0.0007988017830470962
6.8014,7.104866872119521e-05,0.0007480862599377353
6.8347,0.00016218254268395412,0.0006075007750923122
6.868,0.00021714869782913084,0.0008253549543293144
6.9014,0.0,0.0008194801912543208
6.9347,0.00014699115895447113,0.0009424869425754814
6.9681,0.0,0.0006051875079418655
7.0014,0.0,0.0005112003759282891
7.0347,0.0,0.0007193048531647996
7.0681,8.035219192246851e-05,0.0007748757530794316
7.1014,0.0001661476350521012,0.0007231042600543287
7.1348,0.0,0.0006571065853373026
7.1681,0.0001359649528959059,0.0008618914278037095
7.2014,0.0,0.0006963949560412239
7.2348,8.363033084374312e-07,0.0008207770792546097
7.2681,0.00024053418956251072,0.0007067652279155887
7.3015,0.00011398621439723028,0.0008662094484004826
7.3348,2.464742894328101e-05,0.000999515654603134
7.3681,0.0002061066409967165,0.0007704221846313357
7.4015,2.319169940462766e-05,0.0007593866940672743
7.4348,0.0,0.0006372922054816803
7.4682,0.0,0.0006474515047332176
7.5015,0.00010973903619540766,0.000765512115563948
7.5348,0.0,0.0007358628135308127
7.5682,0.0,0.0009461018754672158
7.6015,7.704246574905275e-05,0.0008034840356482194
7.6349,3.7189344466157474e-05,0.0007038309118612348
7.6682,4.1623629292644284e-05,0.0007578932434336932
7.7015,0.0,0.0008320535044864869
7.7349,7.22905415173616e-05,0.0005761130344508087
7.7682,3.95369455747849e-05,0.0007448118116051889
7.8016,0.0,0.0007877823368423768
7.8349,8.701452290886302e-05,0.0008274070478556653
7.8682,0.00012600482669513616,0.0007924990590328411
7.9016,0.00010597336011191567,0.0006579012590745992
7.9349,0.00015601998234847744,0.0008167929290110673
7.9683,0.00013699221218278483,0.000907593707033895
8.0016,0.0002066114646530789,0.0009416747879007419
8.0349,0.00010396277202194971,0.0008870093073056693
8.0683,0.0,0.0007852396569047822
8.1016,0.0001183153848026925,0.0006898691118408328
8.135,6.533660450579321e-05,0.0008068954195915207
8.1683,0.00021334839589741124,0.0006764993318383886
8.2016,0.00010432849635672682,0.0008022130048611351
8.235,0.0,0.0007105447581887751
8.2683,0.0,0.000550356446442744
8.3017,0.0,0.0010056531851976582
8.335,1.5824646559343855e-05,0.00085263065604909
8.3683,2.3697902734598886e-05,0.0006883532782229937
8.4017,0.0,0.0009603865443975908
8.435,3.315299555803965e-05,0.0007751007979608782
8.4684,4.144051753815808e-05,0.0009113292313315382
8.5017,0.0,0.0008938328159590486
8.535,0.0002096423652671286,0.0010030169123406176
8.5684,0.0,0.0008291155064871479
8.6017,6.062054867850177e-05,0.0009078800814455397
8.6351,0.0,0.0009534868257666854
8.6684,2.1606026910520263e-05,0.0009191726110717839
8.7017,0.00011828561238022597,0.0007101054765615318
8.7351,9.840816788289138e-06,0.0008083880801682166
8.7684,0.0001444696615938438,0.0007826316819073742
8.8018,0.0,0.0006952316156711438
8.8351,0.0,0.0008613351553778319
8.8684,7.343857277324575e-05,0.0007959516241225512
8.9018,6.0705726550967944e-05,0.0007748480356233259
8.9351,0.0,0.000854622766108891
8.9685,3.661744209864048e-05,0.0008238012830278532
9.0018,0.0,0.0008882568571354232
9.0351,0.0002976186306536002,0.000673492538122344
9.0685,0.00021634296106120648,0.0008598648084223033
9.1018,0.00014728557161278053,0.0008157244206986758
9.1352,1.946072958962796e-05,0.0007155039725485576
9.1685,0.00015573003821211894,0.0007922035473284303
9.2018,0.0,0.0007233630415177294
9.2352,0.0,0.0009142802907861244
9.2685,5.720360819176499e-05,0.0007208962014716191
9.3019,8.606419902379043e-05,0.0008153121244723561
9.3352,4.532028660626549e-06,0.0008591915003216294
9.3685,4.763073695840284e-05,0.0009690523673212912
