,B,C
0.0,0.0,0.0
0.005163,1.1751891874229388e-06,2.744921485692017e-09
0.021477,4.843639692482371e-06,4.7198164163268495e-08
0.0333,7.460360791346083e-06,1.1296751814832215e-07
0.038479,8.595524553362494e-06,1.505446480765916e-07
0.054841,1.2138640806063807e-05,3.0393634567465283e-07
0.0667,1.4665589835579162e-05,4.47607040928987e-07
0.071863,1.5755176806391025e-05,5.185878289196134e-07
0.088177,1.915589951150916e-05,7.760293187010427e-07
0.1,2.1581161964149638e-05,9.937092083586008e-07
0.105179,2.2633139349022472e-05,1.097182929219765e-06
0.121541,2.5916094595245473e-05,1.4562378046403902e-06
0.1334,2.825700659722828e-05,1.7465724277012344e-06
0.138563,2.9266247650560663e-05,1.8807888161605377e-06
0.154877,3.2415688131751193e-05,2.3355800053981782e-06
0.1667,3.466125832736441e-05,2.693987101593667e-06
0.171863,3.56322560839658e-05,2.857999096088257e-06
0.188177,3.866209275646271e-05,3.4057665753777014e-06
0.2,4.082213626398146e-05,3.830462569142317e-06
0.205179,4.175888217111098e-05,4.023722438905936e-06
0.221541,4.468146829872405e-05,4.662942134609085e-06
0.2334,4.676469669195294e-05,5.153015088338559e-06
0.238563,4.7662651808768294e-05,5.3733362087814115e-06
0.254877,5.046405613230584e-05,6.096791213893467e-06
0.2667,5.246075573453792e-05,6.646724150277632e-06
0.271879,5.33265343717261e-05,6.894291550023384e-06
0.288241,5.602718847411799e-05,7.702931363473415e-06
0.3001,5.7951730392245635e-05,8.313752463002082e-06
0.305263,5.878115536204347e-05,8.586116919778613e-06
0.321577,6.136824553656775e-05,9.4719188707189e-06
0.3334,6.321170225352961e-05,1.0137549542841679e-05
0.338563,6.400851829435321e-05,1.0434383074893201e-05
0.354877,6.649363286291396e-05,1.1396503429855616e-05
0.3667,6.826417518296615e-05,1.2116511740617232e-05
0.371879,6.90316990555719e-05,1.2437815813368139e-05
0.388241,7.142509738626522e-05,1.347642977470355e-05
0.4001,7.312995475291944e-05,1.4251101695143471e-05
0.405263,7.386450974283419e-05,1.4594072539745032e-05
0.421577,7.615492408057831e-05,1.570007034339448e-05
0.4334,7.77862563624399e-05,1.652257036159737e-05
0.438579,7.849330179698982e-05,1.688830021957624e-05
0.454941,8.069758320583843e-05,1.8065432748755732e-05
0.4668,8.226723087150067e-05,1.8938758527740684e-05
0.471963,8.29433978416018e-05,1.9324231366996142e-05
0.488277,8.505122927504591e-05,2.056273857600695e-05
0.5001,8.655202080753601e-05,2.1479602353287555e-05
0.505263,8.720041478153021e-05,2.1885004954252294e-05
0.521577,8.922140051159759e-05,2.318563562269674e-05
0.5334,9.066010227188415e-05,2.4146727900288e-05
0.538579,9.128346392922479e-05,2.4572516892291076e-05
0.554941,9.322607562488581e-05,2.59368536820109e-05
0.5668,9.460865182806182e-05,2.6943451794864598e-05
0.571963,9.520403780232092e-05,2.7386326212238928e-05
0.588277,9.705927263585671e-05,2.880373699620216e-05
0.6001,9.837947589439834e-05,2.9847947474442366e-05
0.605279,9.895136044394029e-05,3.030974588606634e-05
0.621641,0.00010073301607851675,3.178628420574224e-05
0.6335,0.00010200052913337421,3.28727217329866e-05
0.638663,0.00010254623041680071,3.334997370870956e-05
0.654977,0.00010424611160843219,3.487448933259658e-05
0.6668,0.00010545525485789958,3.599490113262263e-05
0.671963,0.00010597733269209605,3.648821913356173e-05
0.688277,0.00010760335039217364,3.806277689284001e-05
