,B,C
0.0,,
0.005163,0.00022694711553683934,1.0621175050196158e-06
0.021477,0.00022280483490034306,4.377605376607245e-06
0.0333,0.00021984254412481014,6.742556751757264e-06
0.038479,0.00021855545396720505,7.768499906787026e-06
0.054841,0.00021453009948782205,1.0970712652264942e-05
0.0667,0.00021165158668115817,1.3254529443011736e-05
0.071863,0.00021040839883494197,1.4239281010951481e-05
0.088177,0.0002065202758265309,1.7312800707592227e-05
0.1,0.00020373982897335278,1.9504714769416565e-05
0.105179,0.00020253177146034373,2.0455475385082512e-05
0.121541,0.0001987536820327601,2.3422558704540027e-05
0.1334,0.00019605207420317718,2.5538238155666264e-05
0.138563,0.00019488531187442163,2.6450374347013795e-05
0.154877,0.00019123630353133294,2.929678912166404e-05
0.1667,0.0001886269364866662,3.1326300147664275e-05
0.171863,0.00018749661898743677,3.22038726488908e-05
0.188177,0.00018396163612553436,3.49421913822908e-05
0.2,0.00018143385064505697,3.6894404732696626e-05
0.205179,0.0001803356037181922,3.7741020951060165e-05
0.221541,0.00017690107019806598,4.038240832875751e-05
0.2334,0.0001744452560683391,4.226519738696384e-05
0.238563,0.00017338467959218063,4.3076755099116506e-05
0.254877,0.00017006789555956402,4.560862026815506e-05
0.2667,0.00016769622342463825,4.741320596592422e-05
0.271879,0.0001666658254061847,4.819568308183957e-05
0.288241,0.00016344356395911198,5.063649178553738e-05
0.3001,0.0001611396163113537,5.237586250325974e-05
0.305263,0.00016014464760218984,5.312548374633335e-05
0.321577,0.00015703312943067492,5.546365515808033e-05
0.3334,0.00015480831639321454,5.712974234624176e-05
0.338563,0.00015384463171119094,5.784989215215942e-05
0.354877,0.00015083099085747877,6.009589961503928e-05
0.3667,0.0001486762044872959,6.16960879180216e-05
0.371879,0.00014774006729059746,6.238976392299119e-05
0.388241,0.00014481270791956964,6.455287969253685e-05
0.4001,0.0001427197408200082,6.609370296768618e-05
0.405263,0.0001418159171452386,6.675758221499172e-05
