,A,B,C,D,E,F,G,H
0.0,0.5039799848869926,8.68615954503165e-05,0.012053037477747885,0.0057645628507984135,0.0,0.3066201961510123,0.49725997097713737,0.0
0.06202,0.48122628872347845,0.008480144765185391,0.004663522474488092,0.03139132058475363,0.0,0.2955047143784401,0.4982816489466762,0.012608760594335744
0.25798,0.4192291316811895,0.03420522701977618,0.0,0.058286155411129734,0.0,0.2981499080162426,0.4829754894986983,0.0032207931254222702
0.4,0.3750860258920662,0.046412164346398777,0.00556547193669853,0.07379437816561844,0.0014352702563799522,0.2866587995547096,0.4841894443345319,0.00954665188468264
0.46202,0.35400363808954655,0.04990300116987035,0.0031253839925713643,0.09495704334316396,0.0,0.2743044938229645,0.48558560498397585,0.012139835120686858
0.65798,0.3230825999398733,0.07350544905091934,0.0,0.10551005418035378,0.005072064128633241,0.27297989510765724,0.4725146447969349,0.02656932334030146
0.8,0.2713263412386051,0.08456957099769598,0.005546830340882769,0.12532470425642067,0.0,0.2788865643664634,0.48088068750455837,0.02494934515919082
0.86202,0.2732110202908459,0.0955944322462811,0.0029995705522721738,0.13673771818127153,0.0019451722369307053,0.26275476360696587,0.4702895706991206,0.04028314742172165
1.05798,0.23854584736395523,0.09738794526748613,0.0,0.1436443491504147,0.007325953300445967,0.2654674993883635,0.468053570239823,0.031693349343168656
1.2,0.21494031359182836,0.1041061724309554,0.007621362975301909,0.15696114972316047,0.012463071042682069,0.25271171287260963,0.47254253640578725,0.04275558011249737
1.26202,0.1995565492376085,0.10958209226669983,0.002525755334495244,0.1628850126466917,0.0,0.2543646359882114,0.46175336969282954,0.032687371478499615
1.45798,0.17832901794818273,0.11823491004119366,0.0028148640525151826,0.1606777094819633,0.009477133565786276,0.2553198704780824,0.4509852611276209,0.048557678275079945
1.6,0.1598862708683936,0.11782281109160878,0.009417747433693302,0.18893790500331292,0.012381077800748057,0.25464602226353267,0.4421213447290021,0.05306652532596642
1.66202,0.15289089094077918,0.12826544156728356,0.0069469409367822026,0.1775699259207272,0.004848116256877279,0.24362994657478879,0.4632524416580268,0.05061694588553965
1.85798,0.13751868335890413,0.12172147542644744,0.007689009464923911,0.1830747580495451,0.00911408186098766,0.2451008405677389,0.4471724768112656,0.04973790255453771
2.0,0.12463273359097958,0.12284813649801664,0.010741961559717277,0.20308871975003706,0.02012875164504201,0.24050234557878353,0.44736470185701027,0.05708730094322353
2.06202,0.12307911583794888,0.12515632396993517,0.0165728453815183,0.20288687225138802,0.023105995122373307,0.23075174333975135,0.4390993124497354,0.053444188075708575
2.25798,0.0953831810221063,0.12827091612884736,0.009332415468417676,0.2127206491955463,0.016435911144734087,0.2344395882227186,0.4463208567888748,0.0697350751611446
2.4,0.09825903113495278,0.12829202310847035,0.016031183006940695,0.20384079291042143,0.014152437257428353,0.24081113936390522,0.4346304535807818,0.0737159317134154
2.46202,0.08512431435987299,0.12159376323158838,0.011124712635362825,0.21193650952318788,0.027626502918045852,0.232143204864062,0.42628139956963695,0.06581783073673277
2.65798,0.08091934748995995,0.13096154101466953,0.009555844659560747,0.2091706449508914,0.02881723354353272,0.22578937668802546,0.4168925084258447,0.06786234009767336
2.8,0.06575938276448677,0.12794330717612196,0.015025693381155725,0.21640919172006684,0.025433350628349744,0.2246157129132713,0.4297124088848076,0.08031356803267671
2.86202,0.06789508961700177,0.13022338365608396,0.00914028375458067,0.21194133461305936,0.02903351868782695,0.22320738544264582,0.4223562784188567,0.0909956383682134
3.05798,0.060002658870195416,0.1382139039601976,0.021027865317003354,0.21658714083397185,0.02868047684506027,0.22648916764268978,0.413511087841847,0.08069962211838866
3.2,0.05068516357010662,0.12275405301864778,0.010444264287248805,0.2075641468793048,0.03652847257928785,0.21573897787161916,0.40118028423593566,0.0870864942560357
3.26202,0.0587867832116732,0.12600760561913404,0.01820300633019613,0.22053334407846845,0.028281637033875862,0.22008486744331482,0.41811387119972043,0.07802474165666104
3.45798,0.04157943290937084,0.12380759223838465,0.02442757517375168,0.21005583755936147,0.0410023972122765,0.21634907390066052,0.4138910539644297,0.08216708081571346
3.6,0.03748642559268082,0.11187271439589275,0.02486907909364124,0.20505179711536337,0.03058770735431542,0.21280910209973078,0.4049112156426393,0.09320446988370279
3.66202,0.03276360027023053,0.11371295068813184,0.023234708286810464,0.21121130059311397,0.03699061228529101,0.21281650379357056,0.4160504689787364,0.09637225993561306
3.85798,0.03959487810340644,0.11720087080250416,0.02366144860599812,0.20805014573929909,0.03237040047399101,0.21051475442708842,0.40602909137051774,0.08908152942840054
4.0,0.03395454004296236,0.12097902071721323,0.021683973126278854,0.21432226398866452,0.047620038198038485,0.19842425507985118,0.4033943385600505,0.09776656382116887
4.06202,0.03181327645658183,0.11160985673548535,0.028587923804525562,0.1983304120682441,0.046425721732036185,0.20436004490329576,0.4023184223051768,0.10169450269308786
4.25798,0.02739070190035848,0.1246648986820851,0.024642211911742005,0.21357740633796665,0.042572979608435334,0.18677617901422086,0.39117090971542773,0.10547641907836297
4.4,0.02293034179143366,0.11359803853986135,0.02616346876841659,0.21259505131942608,0.04541663172398253,0.19531606395072246,0.4031687456154144,0.10567573094993518
4.46202,0.02564634513047251,0.10879846268715515,0.02010054665604431,0.2097389038767489,0.06126966580716888,0.19025740552307768,0.39473991113705764,0.10568754438400003
4.65798,0.017089761631013188,0.11231778975239837,0.01464971184427352,0.20474259405725315,0.047833054602732836,0.19633120413521962,0.39141917859642256,0.10461804894105092
4.8,0.00956804142374575,0.09756030766156398,0.030724375535221924,0.2028518704659092,0.05156938035160313,0.19092510345082633,0.38193123998120176,0.10764294699056298
4.86202,0.013208580684003247,0.10978672341084228,0.02525617940156415,0.2046928868870818,0.049483195174150986,0.18791244925381284,0.3879710623203408,0.11637869837809005
5.05798,0.017780048562917476,0.09936348942781535,0.02754974253243689,0.19517048810869456,0.04785529049159307,0.18963752477430648,0.38287620122772964,0.11577517399973057
5.2,0.013281889753600512,0.09669464688659007,0.026596084323517767,0.19436539754670915,0.06298360785577566,0.17617601610225914,0.3861956315614967,0.11574745448268332
5.26202,0.016309817107112805,0.09814133163129393,0.024031830054659788,0.1855539111356009,0.057686679828093224,0.18992751285595438,0.38274363363447633,0.110990354479901
5.45798,0.0006309970780447212,0.09843603003276095,0.02483008184220938,0.19386829557228727,0.06478825317976221,0.1897945094762976,0.38114608112454923,0.1166816035581459
5.6,0.007371236447083468,0.0983962297845716,0.01921559292360864,0.1906198485834168,0.06587652813186763,0.18122310444716452,0.37323861539213954,0.12726920755469212
5.66202,0.004776034603076508,0.09194169976197893,0.025388155125439335,0.1808073719364459,0.059502700306958756,0.1748001697306872,0.37731958345240607,0.11901135718562601
5.85798,0.004376912851022473,0.08365866158540547,0.02752335654450706,0.18817208014387032,0.060915100892261535,0.17179309910384902,0.3727665581586291,0.12170375259584948
6.0,0.012115897385209948,0.09082766640146464,0.024366631079731232,0.17667994143460766,0.05807880805157599,0.17995879035594545,0.3753900686925952,0.12747076739164528
6.06202,0.012761012823600223,0.09205327828336897,0.01748349132465233,0.18482622782261499,0.06789999917741509,0.17470339801263018,0.3760179566103584,0.13155670011338005
6.25798,0.0,0.09066577118446716,0.02600876488969737,0.18340307488216948,0.060847533918304796,0.174475578473797,0.37488559722662496,0.1281256662546476
6.4,0.00033184240337492867,0.07890719713249451,0.017424783888350115,0.17414595602416708,0.06393080561479157,0.16408498885160952,0.371920848348595,0.13238467761239447
6.46202,0.004677070926117028,0.07516615412083917,0.019120452528071902,0.1693911906377173,0.0644680461419308,0.1754639428697875,0.3729828507441422,0.13892965622265224
6.65798,0.006255594134665812,0.09188445610474284,0.02052281743618387,0.16894160482305687,0.07307420938074352,0.16768561766330922,0.36939881725604884,0.1264101168356272
6.8,0.00343533732894478,0.07572625154821055,0.027816140028468737,0.16802436520786487,0.06308995073023654,0.15343449356595137,0.3607573666163174,0.13614612181706992
6.86202,0.0,0.07386469298517158,0.021186653704819324,0.17179498267482832,0.06619415492572316,0.1561687979858793,0.3627330983321831,0.1400624863015795
7.05798,0.0,0.07105679871676843,0.02720775018889549,0.16100946947468647,0.06482125083955848,0.15295639917551648,0.3716062945339555,0.13820823379028493
7.2,0.0,0.05997221428083901,0.02569092204934416,0.16508884097442594,0.07415998165244084,0.1577785088331426,0.3620080258327314,0.1422156323843857
7.26202,0.0006531075028376491,0.0627604584971622,0.02532749268197185,0.16650492898679864,0.06618239312078679,0.16388030686648689,0.3621539745535228,0.13664333981652887
7.45798,0.00678365077249432,0.04916003587416348,0.019922605434833936,0.15913989689014832,0.07485693038012643,0.15964582925450221,0.3544118533972967,0.14418862458070034
7.6,0.0,0.05340394768506143,0.026383182125416505,0.15379274363873063,0.08219584754154824,0.16129665552184147,0.3620708514830199,0.1393974196802099
7.66202,0.0018552287141444957,0.06344578921129194,0.028166614197869182,0.15611251504398713,0.06569833774945551,0.15652330752848018,0.3554012429528355,0.1515435167145678
7.85798,0.005899628444462526,0.06425209821113133,0.02292327828680442,0.1601286939922015,0.0899292419037037,0.1528489226888055,0.36436619127854364,0.14907657226134702
8.0,0.0026612450215487207,0.061251983245906104,0.018855844565256786,0.1490104660461625,0.07486973894582273,0.1562560813310531,0.3491802192707599,0.15554587988766294
8.06202,0.0008170729946514424,0.06377240040878489,0.031324576611256254,0.14522299068630384,0.07332274042944925,0.1594638639298689,0.3460439926346386,0.15726821058806678
8.25798,0.001403435580360913,0.061840306777214436,0.017126491624148175,0.1473559052041232,0.08916981890262159,0.15051506409272872,0.3507654083672467,0.15707850196182085
8.4,0.0,0.05815860588521391,0.019314512060944006,0.140745602415353,0.08201271322975648,0.14561628730248274,0.35400455086748456,0.14874354310372923
