,A,B,C,D,E,F,G,H
0.0,0.30510083622410356,0.0,0.0,0.10115250033831778,0.042067710611636645,0.45871622539263246,0.7772173342909152,0.0
0.058144,0.28877957833002077,0.02873938617636372,0.0037860321598963457,0.11519967308982702,0.0,0.49422038542330843,0.7619459487583192,0.020629063088759027
0.241856,0.2543073929061719,0.008647211045928081,0.0,0.1079706445712696,0.02230012692287115,0.4950350055685994,0.7489628865470371,0.05651391006568671
0.375,0.25777506627314634,0.017588806096704677,0.0,0.12555812441263128,0.02160710415067833,0.4482316433967298,0.7413558811427179,0.06508765070494056
0.433144,0.26752976780169946,0.01753268460284984,0.0,0.1400923361178355,0.03174343310230093,0.4666739904181675,0.714680383094048,0.08676321944158845
0.616856,0.1920168561955644,0.06019436943630414,0.03646890338986954,0.1538919770943543,0.0,0.4206233295511903,0.735789329380606,0.07865569735367055
0.75,0.15951490528107348,0.034479102915579,0.0,0.15379202186543398,0.023015744036353075,0.3987277762908908,0.6583330415629244,0.10691634967638436
0.808144,0.15652058461769858,0.08349626513137588,0.0,0.17899173924293074,0.01262833887645727,0.42039998786588784,0.7016133474688642,0.10378783937235007
0.991856,0.13985739756904395,0.09298373336530083,0.0,0.12301690389564007,0.0014596175299916466,0.34230533479471936,0.6971299075224827,0.09268910677413954
1.125,0.1760278509775261,0.036854724218821466,0.016533450402829872,0.1808744441290769,0.0,0.34936132289768834,0.668769504865082,0.155071343757972
1.183144,0.12592610115123196,0.08888219357421732,0.0022139864931923587,0.18399063421108947,0.0,0.3640572781701119,0.6735258452757599,0.15254186299531147
1.366856,0.08383406193296303,0.03251351784976227,0.0,0.20143269380471215,0.01798295025137389,0.3494700865242299,0.6561529744529078,0.10454174222915621
1.5,0.0929833023082492,0.09316011981799643,0.0,0.18481913869875946,0.007981737600063847,0.3252452762819163,0.6376192783409979,0.18645207767053973
1.558144,0.11088991140326508,0.06379317605518575,0.0,0.16816820943693067,0.00913097349345365,0.3305628618755453,0.6224542417480823,0.12984380432379256
1.741856,0.05183536960338879,0.07123972475654355,0.00793645557703258,0.17610416187927508,0.009595311397734214,0.36546283143971237,0.631581930267057,0.14055314228726024
1.875,0.0827466181261268,0.10701469742577002,0.03468917167641986,0.1993640415553758,0.0,0.3100394304298775,0.6347332357562431,0.1934633041995274
1.933144,0.058712729496454334,0.06483155437607155,0.0002346105208649368,0.207602975582536,0.012395327025621915,0.29793727024259437,0.6194838183044006,0.1648401446068333
2.116856,0.09267032646637222,0.07004534878812216,0.0,0.20855407364293155,0.0,0.3007237359854404,0.6312004932424233,0.21413972303167858
2.25,0.08334314378852963,0.05782955648840547,0.02072296668826336,0.18907758600577418,0.0,0.2797013042866582,0.5822341566083211,0.18124118436493417
2.308144,0.05973526791776004,0.08940300744095328,0.03224785900326212,0.22574015829371555,0.036897837450311055,0.3079736443123873,0.6322886436824116,0.21682800046247191
2.491856,0.0522428269598503,0.060714839499566485,0.027723807642906023,0.21244019658019134,0.050193444252066746,0.3021511394074403,0.5986123625934646,0.2090074034913428
2.625,0.02648612952006137,0.08753344444122582,0.025839909134768642,0.18509218771825783,0.01043566074738251,0.27803716142313767,0.5759555131248488,0.24869587305706536
2.683144,0.06560032488661932,0.06883423725196847,0.039864276879049164,0.2208795130985028,0.04490454138772791,0.245192167796786,0.5697573540363532,0.1917793603379609
2.866856,0.037313178562910373,0.08003069049584052,0.015480857817172566,0.19007937656489382,0.0,0.27509596415708304,0.5582637620920015,0.2406505890685244
3.0,0.031328580806172734,0.07595736431315792,0.0,0.19633273147140654,0.0,0.2562908764000474,0.5191747549432363,0.2626223016345547
3.058144,0.018242498468004312,0.10591223196625882,0.0018427026156704208,0.20632031514184068,0.0,0.2796135846005226,0.5373445084908842,0.23416950387291005
