,A,B,C
0.0,6.648615549449676,20.304276471805107,0.10959790468870843
0.048647,6.65074187730079,20.254927559483864,-0.08125758561955623
0.202353,6.753593652284486,20.198500029197476,-0.14822661680594335
0.31375,6.740766465127597,20.27121108221289,0.06888050227396543
0.362397,6.663691706431668,20.27742535627012,-0.0069229368323875514
0.516103,6.861349560124586,20.246948408046432,-0.10530294308564303
0.6275,6.804204201020899,20.252674754301108,-0.10838311360650135
0.676147,6.653035382120105,20.113014399557454,0.07696390554439765
0.829853,6.884726705750446,20.289590618386406,0.06140982200877118
0.94125,6.808848821439698,20.2103539600243,0.07463811443128887
0.989897,6.673227658223356,20.089461159185756,0.02533147306425273
1.143603,6.550036634316492,20.15885298415233,-0.07706445961642341
1.255,6.685651670196752,20.309940924876663,-0.004402255290051539
1.303647,6.946997663051559,20.19256636826984,-0.043644484991649524
1.457353,6.798753677517505,20.213795773488275,0.004366476762650014
1.56875,6.700422091329064,20.12976029590398,0.0032981159845003293
1.617397,6.7588044940167356,20.196964867175204,0.1043395864268799
1.771103,6.723495954393915,20.201552611805273,0.07991644425639417
1.8825,6.702041979792348,20.071001013551143,-0.10325630010558436
1.931147,6.573549991283307,20.07556680627295,0.06820986052693825
2.084853,6.618161437481104,20.08250880251173,0.018416191181122137
2.19625,6.710534376996268,20.013030668465536,0.21635670358816644
2.244897,6.504210728062218,20.265069830104615,-0.10190086452403807
2.398603,6.64693015281438,20.121302273230615,0.19803238210406798
2.51,6.776448030954953,20.128844922520308,-0.0004114028486844612
2.58268,6.671693511748947,20.16076450332439,1.0505057710842036
2.81232,6.547416530710581,20.048753523834748,0.9199697111508769
2.97875,6.632247648996817,20.13704633478983,1.1099639848499545
3.05143,6.775182132768244,20.111359302533096,0.9829938022986393
3.28107,6.619061350476203,20.130152444100048,0.8620734899786336
3.4475,6.675843646724867,20.08362223878782,1.1876667705720196
3.52018,6.776219851971296,19.94876009298133,1.0344953257906149
3.74982,6.508559013265397,20.363711911495997,1.2183821960640537
3.91625,6.648278997607923,20.024844237447986,1.1312155651728142
3.98893,6.484596601634192,20.09609971059822,1.0908698289837508
4.21857,6.705446856637775,20.16354531435633,1.243250196003487
4.385,6.781426198664128,20.311138400573864,0.9955218048207433
4.45768,6.6754159517518605,20.0124530516703,1.0939285935447922
4.68732,6.646550436055718,20.20903784270283,1.2202014373340115
4.85375,6.663468434074575,20.05266212852031,1.3033171255852773
4.92643,6.574199754025301,20.13430458897016,1.1450726517305507
5.15607,6.6399824657041675,19.90787210264442,1.2555865676276963
5.3225,6.525659053986385,20.02695419721663,0.9056981719605105
5.39518,6.561336418788984,20.03835011482797,1.12287882153527
5.62482,6.715168517486016,20.174148641316496,1.0828002716848835
5.79125,6.4766595511125775,20.244569007383785,1.1660234871765416
5.86393,6.543152430483142,20.237843555432956,1.237870506380033
6.09357,6.511825498977974,20.14485795816313,1.1017352551334256
6.26,6.597072422436677,19.98512064659614,1.2145916676025492
6.33268,6.339544340029985,20.080001244596957,1.319947098837522
6.56232,6.778666733711661,20.02861142317693,1.124896291688398
6.72875,6.709976566675572,19.900649167614265,1.1210652993102461
6.80143,6.450352160597196,20.16750481992882,1.1580423279944072
7.03107,6.42943509112545,20.085892820650848,1.0497245638549844
7.1975,6.437572492820035,19.849692182928763,1.1390555777228015
7.27018,6.1472926979637945,20.0477362571595,1.258338470511391
7.49982,6.532517780752895,19.96795535912516,1.2248909797478684
7.66625,6.481652129110541,20.064610780217432,1.2607427241590594
7.73893,6.613756041626464,19.83732151338344,1.229090392184172
7.96857,6.501405963275997,19.969325638377704,0.9984334153783008
8.135,6.370205715606966,19.945913507726775,1.2220066048071567
8.20768,6.491930730633312,19.905219557753053,1.1340963842444776
8.43732,6.308988158771563,19.890217573180593,1.1158787118700435
8.60375,6.481675387932874,19.72429615905354,1.256233756713907
8.67643,6.338365427495669,19.848663247156523,1.2282523518166282
8.90607,6.255745891266509,19.89914704666155,1.1552446854405898
9.0725,6.280422907549161,20.010721047905232,1.376156410775387
9.14518,6.461711950844901,19.81279011783647,1.3134520130902794
9.37482,6.1819649757747985,19.774032705817973,1.3118807627112854
9.54125,6.255786938166155,19.792963517494137,1.3640795365128477
9.61393,6.284618581384371,19.76334094011494,1.2344296803460313
9.84357,6.248850334098909,19.64267637399325,1.4348535968810532
10.01,6.240029611980031,19.74708038076196,1.4755749970568555
10.106907,6.239954485173731,19.72962148238825,1.4608682967326212
10.413093,6.22314818970194,19.683816541810195,1.4981522061225603
10.635,6.01179529445142,19.56212924786532,1.627434910981978
10.731907,6.1320895220807765,19.625286022108746,1.785869283303999
11.038093,5.960060233965287,19.39086392530065,1.5054106622676389
11.26,5.771056857208518,19.49664773698599,1.7845408183200588
11.356907,5.8528766235834935,19.44155005557551,1.9684081294016769
11.663093,5.7543187445307264,19.197557381015486,1.9625637809883
11.885,5.6632189074409895,19.15862047292723,1.8611196484279349
11.981907,5.744771394800785,19.18274903621971,2.1139584878390227
12.288093,5.597119329364547,19.1204785927886,2.218863835374181
12.51,5.394031800320998,18.835605462090633,2.363186314335742
12.606907,5.41342821492534,18.798530461788165,2.5041033382926936
12.913093,5.232012456387888,18.535022227247406,2.5707323496530994
