,A,B,C,D
0.025,0.9709733304749992,0.7670938355298869,0.037242276770705345,0.0
0.05,0.9358611314300271,0.7323271962385792,0.06971726533848892,0.0006197095568600318
0.075,0.9041673250030877,0.700759224632289,0.10004679142019533,0.0014304910134556514
0.1,0.8746043069369333,0.6718347879913438,0.12829170295081027,0.0015888424935548194
0.125,0.8467407026196262,0.6446810630404863,0.15407101365205142,0.002484598744136275
0.15,0.8216577292811863,0.6195764938214626,0.17609170844274624,0.0037680344676050666
0.175,0.7976227065858585,0.5960710724540896,0.19629580865429722,0.005200910224673596
0.2,0.7748403598547716,0.5742330708011766,0.21544432711197484,0.005648489405552691
0.225,0.7531358796212376,0.5536104047086371,0.2334690149255244,0.006374006711256405
0.25,0.7338493291829312,0.5339923357529096,0.24835039810163734,0.008404415015438463
0.275,0.7154000785403296,0.516144574985441,0.26141187295723267,0.0098631230912457
0.3,0.6983434526006216,0.49926529715234835,0.2743899090578486,0.012045741990980185
0.325,0.6821042182092257,0.4833054659087371,0.2849858866876959,0.014889513675503683
0.35,0.6670131350885045,0.4681991796775903,0.2955258452290438,0.016836396612958923
0.375,0.6532936191335369,0.4542321472237017,0.3043391355321151,0.020000324719446995
0.4,0.6390513883138433,0.4400596568118748,0.31309583877576824,0.022438945189675073
0.425,0.6264197391926772,0.42755812555980816,0.31857044458108863,0.02531088469027409
0.45,0.6135445871097432,0.4150348280287675,0.3250646810640778,0.027787914638162298
0.475,0.6021071279311392,0.4036672745693315,0.3304594618593044,0.030826162035518436
0.5,0.5914298248636268,0.39297726532024313,0.33540882589064813,0.034556133117454604
0.525,0.5811160362498813,0.38247738329822106,0.3378307954308989,0.0385492010766636
0.55,0.5705161779602171,0.3722380976567868,0.34265640311086976,0.041400814559666294
0.575,0.5608249806124345,0.362444623456308,0.34602995823029903,0.04455124716572729
0.6,0.5517007638299669,0.3534726241167008,0.34816431556328287,0.047569873402427985
0.625,0.5423072454113788,0.344417117797462,0.35045917234574375,0.0511923537543139
0.65,0.5334013545815344,0.3358449354684026,0.3525627952318426,0.054439080631746774
0.675,0.5246109093336733,0.32722296268468004,0.35389903219681235,0.05792196717668074
0.7,0.5157290443190495,0.3186689798753022,0.35448960972159677,0.061546863500498164
0.725,0.5092086442574869,0.31171822594558346,0.3552097944885953,0.06499915614905265
0.75,0.5004553851853867,0.30378310255181085,0.35546754373607886,0.06847980176860663
0.775,0.4931975410938633,0.2965130368667593,0.354890706115121,0.07203697091278842
0.8,0.48610329768576616,0.28972911839656307,0.3537176181904242,0.07594198395603889
0.825,0.4799137976820809,0.283594699372449,0.3538029035174749,0.07876595305211374
0.85,0.4730141849810084,0.27621002232712527,0.3530333650161074,0.08332959074323151
0.875,0.4678455847904951,0.27047432093872714,0.35292524272714526,0.08787304660962533
0.9,0.4627674635623109,0.26523081996204906,0.35227057513236215,0.09074544619822081
0.925,0.45714639229643816,0.25891413695324744,0.3514197262639619,0.0941037436182918
0.95,0.4518297732780642,0.253578492805622,0.3496778858635415,0.09762416217375375
0.975,0.44703834291247196,0.2477822496591017,0.34870248718433494,0.10178307177792927
1.0,0.4424874997618343,0.24267816989635488,0.3461433871337562,0.10626294697560593
1.025,0.43737436192420964,0.23758318854149754,0.34524790701069064,0.10998709793856734
1.05,0.4323531172751004,0.2325170953504779,0.3439140287133917,0.11282262901277873
1.075,0.4275698469975328,0.22793750076812702,0.34112531652109773,0.11658206879518325
1.1,0.4234877738862306,0.22375277513075956,0.33836040250219523,0.11979068461308846
1.125,0.41883216445768656,0.21945632796166584,0.3364756912287958,0.12286070958121106
1.15,0.41486445385696696,0.2153642050829383,0.3352094098830612,0.12571727312557
1.175,0.4095280872891471,0.2109458833432252,0.3331027669037076,0.12812974683704145
1.2,0.4051718188431612,0.20643185176439188,0.33029557777665836,0.1313877004838853
1.225,0.40144872988325364,0.20253647345517817,0.32790843744288123,0.13417225834750596
1.25,0.3977664351984031,0.1987543152356626,0.324947467350181,0.1369215800087291
1.275,0.3937927256024655,0.19501239192587927,0.32355101609328657,0.1395439670885552
1.3,0.3904638758311704,0.1916256557032654,0.32153810151466894,0.14284627194031665
1.325,0.38735473357670785,0.18850969758352823,0.3192308387926771,0.14562512100490832
1.35,0.3852807559007368,0.1854817319159806,0.3158198105908204,0.14926228945883718
1.375,0.38110657946893306,0.18217224810677823,0.31379765159067746,0.1525419137888553
1.4,0.37771381944776367,0.17899902949163407,0.31194879548844945,0.15485095054205442
1.425,0.3747213513470207,0.17568728339384085,0.30910518083854355,0.15812974429666365
1.45,0.3713887249790494,0.1727618313479052,0.30734307397581373,0.16037521661051699
1.475,0.3687830371352006,0.17012959679280604,0.30532595638627313,0.16271545967209147
1.5,0.3647868254319589,0.1663508450243712,0.3029170346277721,0.1653723439462989
1.525,0.36242777366554907,0.16415424393424463,0.30007322466480274,0.1679125530873937
1.55,0.3602409759412662,0.1613008072688638,0.2980152216907985,0.17033647777566044
1.575,0.35785353557503585,0.1589496422043646,0.2958068281003028,0.1725657383936861
1.6,0.35512015534827257,0.15609295738728568,0.29313237119873703,0.17536154210529453
1.625,0.35244757468484583,0.15329617541193694,0.29015854286170084,0.17819842938821193
1.65,0.35028564594737155,0.1505380609155188,0.28861831092188717,0.18115628855310428
1.675,0.34850666883157266,0.14814888355346306,0.28679185545307756,0.18389906463065137
1.7,0.346369872017753,0.14581759237836803,0.28390650181842536,0.18643751216522594
1.725,0.34490469246558064,0.14413094835554194,0.282387889320826,0.18926550537765371
1.75,0.34242814566960467,0.14214593966499434,0.279431751718888,0.1910733495887798
1.775,0.3406256058141312,0.14011188175856146,0.2774740483020832,0.19318518017968095
1.8,0.33923891593732547,0.13804734851377554,0.27552502294981446,0.19584082949076226
1.825,0.33728499237456927,0.13581450453834062,0.2735330791584125,0.19812118322453792
1.85,0.3348754643102092,0.13362299098490782,0.27172938879294467,0.20024254721772314
1.875,0.3323353008696385,0.1314688513736478,0.2702751090587199,0.20210096020463178
1.9,0.33029028467231875,0.12934254144150142,0.26850167151504817,0.20403985056608662
1.925,0.3277768663157168,0.12701065808943068,0.26673700754750934,0.20566003361067664
1.95,0.3253392738753308,0.12492808955896054,0.2652911893470265,0.20644138190367006
1.975,0.32388465276400213,0.12336918002473259,0.2634541884475976,0.2092310886411184
2.0,0.3220376477925265,0.12146502096483532,0.2622507429168748,0.21061714225876874
2.025,0.320651146816643,0.11954354360869672,0.2598055760252878,0.21321591892799735
2.05,0.31809774235443466,0.11765207078785671,0.2580237752096048,0.21479337482804894
2.075,0.31676364429400317,0.1158475460300204,0.2561693746004914,0.21741282139464407
2.1,0.3163159844010237,0.11445847054086834,0.2539596472819364,0.2200115314983639
2.125,0.31343430862686095,0.11180164531331738,0.2533540196606869,0.22142773364429383
2.15,0.3120655476929405,0.11016726213163819,0.2512023956943811,0.22327176574377125
2.175,0.31049827333558694,0.10851646840330441,0.24973295890936434,0.2242391771735357
2.2,0.30857124750914844,0.106989265389582,0.24786972069178007,0.22446183125061678
2.225,0.3066724153985774,0.10515919833099416,0.24645620608742294,0.22605962432387777
2.25,0.3050671898864663,0.10321138809285561,0.2442146986251871,0.2284793705478607
2.275,0.30341739001780255,0.10186487636519755,0.24358580878338826,0.22922002250961157
