,B,C,E,D,A
0.0,-4.166006078844147e-06,1.4379403169861044e-05,1.2781074621959399e-05,0.000993968420572744,0.0010073147087106495
0.1,0.0001362939019682069,1.2269885873269323e-05,4.680716867903551e-05,0.0009470812134333912,0.0008462799218077098
0.2,0.0002543225599681757,3.925906552202976e-06,8.72781569380559e-05,0.0009263584446797783,0.0007397239561867469
0.3,0.00035644621207672945,-9.458682239115889e-06,9.024287971854198e-05,0.0008923085600839209,0.000635655105459107
0.4,0.0004206829815191054,2.2061721299046727e-05,0.00016490954831823235,0.0008468160887637434,0.0005341740820384102
0.5,0.000503639182789674,2.47202177616404e-05,0.00017640617324507388,0.0008091525888136176,0.00046387698128947167
0.6,0.000562274655357604,3.8328709142497175e-05,0.00020101367529658603,0.0007817261582639585,0.00040618312108982795
0.7,0.0005891343806818556,4.7916184533591255e-05,0.00022754908926977737,0.000744947785887609,0.00037022247659799536
0.8,0.0006588741439860908,6.027517468987641e-05,0.00027138824530583306,0.0007365384984561629,0.00029723816967427654
0.9,0.0006579969010008054,9.733837730073815e-05,0.0003182549934738768,0.0007077591804177136,0.00026943287169306935
1.0,0.0006966619449830041,9.509309078479334e-05,0.00033266096256098304,0.000673994262688865,0.0002235796656938559
1.1,0.0006911382134631725,0.00010222598090960119,0.00036049612960812396,0.000632472594749756,0.00019658245024826263
1.2,0.0007231888848304924,0.00011322754637511498,0.00037730183969174655,0.0006263279168944023,0.0001654824859510075
1.3,0.000741475155604894,0.0001371548468644265,0.00040851040581778547,0.0005753492422535091,0.0001382314738994754
1.4,0.0007264584218570253,0.00016635101475650284,0.00043815182811859525,0.000541868995750674,0.00010639079750917348
1.5,0.000728907976724594,0.00016464579886561515,0.00045094817401791505,0.0005473856514227145,0.0001087497174915665
1.6,0.0007399102303186685,0.00017833921673524717,0.00047848272687065526,0.0005224554280832656,8.601766822022472e-05
1.7,0.0007317140849855557,0.00020242277793944356,0.0004994508502962666,0.0005161030273040828,9.178598623074502e-05
1.8,0.0007332126991805006,0.0002084373051453325,0.0005070127595532318,0.0005130001729647688,6.462533368283496e-05
