,B,C,A
0.0,-4.166006078844147e-06,1.4379403169861044e-05,0.0010127810746219594
0.1,0.0001362939019682069,1.2269885873269323e-05,0.0008683045855850891
0.2,0.0002543225599681757,3.925906552202976e-06,0.0007512127262939524
0.3,0.00035644621207672945,-9.458682239115889e-06,0.0006147914710110846
0.4,0.0004206829815191054,2.2061721299046727e-05,0.0005658649767683157
0.5,0.000503639182789674,2.47202177616404e-05,0.00046750348271142034
0.6,0.000562274655357604,3.8328709142497175e-05,0.0003942111998711918
0.7,0.0005891343806818556,4.7916184533591255e-05,0.0003332705836200954
0.8,0.0006588741439860908,6.027517468987641e-05,0.00029873149801370335
0.9,0.0006579969010008054,9.733837730073815e-05,0.00027517158379513756
1.0,0.0006966619449830041,9.509309078479334e-05,0.00022611117219241463
1.1,0.0006911382134631725,0.00010222598090960119,0.00019658246257631031
1.2,0.0007231888848304924,0.00011322754637511498,0.00016138412278491254
1.3,0.000741475155604894,0.0001371548468644265,0.00014530502823324634
1.4,0.0007264584218570253,0.00016635101475650284,0.00013181732287066594
1.5,0.000728907976724594,0.00016464579886561515,0.00010515903711831606
1.6,0.0007399102303186685,0.00017833921673524717,9.649310644786587e-05
1.7,0.0007317140849855557,0.00020242277793944356,8.414951071631991e-05
1.8,0.0007332126991805006,0.0002084373051453325,6.097053012470301e-05
1.9,0.0007245054583183808,0.0002144498078173681,5.4995407399783306e-05
2.0,0.0007338520254422191,0.0002219768193622129,4.7233800717486456e-05
2.1,0.0006944833300918951,0.0002441637284607238,3.9850732157264456e-05
2.2,0.000696496955535,0.0002631032567836251,3.878932687118335e-05
2.3,0.0006922879911401753,0.0002768648813524864,3.373529032546719e-05
2.4,0.000684771334143903,0.0002848767475191321,1.7259130741124387e-05
2.5,0.0006534329218647644,0.00029874025857637556,2.381717689888721e-05
2.6,0.0006717783807254885,0.00032535098218887664,4.473068497735976e-06
2.7,0.0006609636249211618,0.00035881748073724937,1.2585509847953443e-05
2.8,0.0006527180769816687,0.0003526531526576837,-2.118621642488864e-06
2.9,0.0006425257825926281,0.0003578457842742316,1.0361870069070025e-05
3.0,0.0006258623106152455,0.0003707331597342789,-8.589519182241072e-06
3.1,0.0006335680045251165,0.00038069597147097583,1.3986872145546403e-05
3.2,0.0005972763537501273,0.0003945198002737401,3.5214616849482792e-06
3.3,0.0005930429714343011,0.00040993399587649316,1.029174081521199e-05
3.4,0.000572863240588897,0.00040716246165466635,6.175153293075161e-06
3.5,0.0005569472374630821,0.00042166398396294803,-4.201997790573073e-06
3.6,0.0005527176161547481,0.0004478598017663887,1.3591936249049285e-05
3.7,0.0005665678334121763,0.00046116660379758804,2.4510234303606497e-06
3.8,0.0005322971578193116,0.0004690978443971796,4.847233254679143e-06
3.9,0.0005249437837178017,0.00046299157524567244,3.373728939714741e-06
4.0,0.000504699795905884,0.0004929667048003473,-2.0818709761028914e-05
4.1,0.0005024379797132245,0.0004988699617765201,1.7007688588496693e-05
4.2,0.0004948611931749506,0.0004825434501059598,3.7291752142533542e-06
4.3,0.0005065320006901547,0.0005033434802923702,-2.9596009183651493e-06
4.4,0.0004711604527610468,0.0005172842624072541,-7.104845277909326e-06
4.5,0.0004783132154246975,0.0005196828123890095,-8.50589722122301e-06
4.6,0.0004415784629583381,0.0005480031076081273,-4.62605276642872e-06
4.7,0.00045035744757992313,0.0005504972323937148,5.028114176103326e-06
4.8,0.00043470413038200847,0.0005671305001732653,8.446062390844424e-06
4.9,0.00041612039160300737,0.0005573207083431758,-9.436260396496237e-07
5.0,0.0004220553802880682,0.0005684414492100545,-1.4478898414506837e-05
5.1,0.0004203934163238296,0.0005886254522423366,5.771653569016978e-06
5.2,0.00040947599268569446,0.0005985283304480492,-1.5276633521675834e-05
5.3,0.00039656517710848313,0.0006038943748353919,1.6573678826960637e-06
5.4,0.0003941055423744339,0.000607257194688483,8.13285673885428e-06
5.5,0.00035982633876099863,0.0006107328761648384,1.967853039686632e-05
5.6,0.0003770634507708163,0.0006304601693186032,1.0856927006760595e-05
5.7,0.00036773089303854294,0.0006215779059580416,-1.6486987511309793e-05
5.8,0.00035045421480682623,0.0006426752456597759,6.560996250004456e-06
5.9,0.00035916853551467876,0.0006400231953651038,9.51916754183276e-06
6.0,0.0003467895066316693,0.0006606517812869046,-1.8672959656499305e-06
6.1,0.00033589883083396315,0.0006627008615438626,7.8822124600532e-06
6.2,0.0003239631544199729,0.0006646438609345592,1.6209132720300126e-05
6.3,0.00034219544804723457,0.0006749626754447088,1.0918491482361165e-05
6.4,0.00032671588401262026,0.0006888186257135862,-1.8857217041916885e-05
6.5,0.00034296879522127384,0.0006755895656360085,-6.719790562914434e-06
6.6,0.0003026707655663492,0.0006998328484840499,1.2027374247035489e-05
6.7,0.0003047473027413576,0.0006792119502281355,-2.232366181085932e-05
6.8,0.0003086752231963245,0.0006955839022575826,-1.7185116672091695e-05
6.9,0.000301263351485842,0.0007095505781375657,-3.236299235358913e-06
7.0,0.0002688355990165778,0.0007050427999955005,1.4940700514861224e-05
