,B,C
0.0,6.747738800170369e-05,0.00010576164245275527
0.0333,0.00020451914087819812,9.018559108687543e-05
0.0667,6.181907288846328e-05,1.3984887561351389e-05
0.1,2.9390994295092795e-05,5.4788258422183085e-05
0.1334,0.0001221178551219496,0.0
0.1667,0.00017841241188624172,7.714810767835275e-05
0.2,7.406365932489869e-05,1.429072214847617e-05
0.2334,2.7893452894027933e-05,0.0
0.2667,5.1410409121053195e-05,0.0002291155502554286
0.3001,0.0,0.00017008873121851915
0.3334,0.00046806703284082,0.0
0.3667,0.0,0.0
0.4001,3.320188289227098e-05,0.0001230225468568418
0.4334,0.00032072944313825196,4.1987716900671676e-05
0.4668,0.00011511617373342359,6.995482297789167e-05
0.5001,0.0,0.0
0.5334,0.000459028078563358,1.3189041477515878e-05
0.5668,8.130410518328837e-05,0.0002224069972595805
0.6001,0.0,0.0
0.6335,4.093970293435269e-05,0.0
0.6668,0.0,6.441378580613385e-05
0.7001,0.0,0.00030816571490914366
0.7335,0.00011482470095007877,8.306504516038809e-05
0.7668,2.8435470724742762e-05,4.782414827929573e-05
0.8002,9.626001533969591e-05,0.0
0.8335,0.00010660161978774583,0.00025779152487042474
0.8668,0.0004500240005110768,7.490222770082146e-05
0.9002,0.00026104826589057746,7.101530741718975e-05
0.9335,3.87291852865556e-06,3.43815898486699e-05
0.9669,0.00020009562128898626,0.000311975155387598
1.0002,0.00017551262665231149,0.0001095064596546269
1.0335,0.00015910397264755572,0.0
1.0669,0.0,9.82359637244997e-05
1.1002,0.00017618112994747886,5.428868449501967e-05
1.1336,0.00017956195026311417,0.00011584537288313762
1.1669,0.00010354804607942208,7.024902064411945e-05
1.2002,0.00017233617946616793,0.0
1.2336,0.0001624103144693775,0.0003285443256302443
1.2669,0.00022599292608873922,9.994184889221042e-05
1.3003,0.00017485707613609764,7.030566772147601e-05
1.3336,5.901797923180271e-05,0.0003095851137915192
1.3669,0.0003392941119766378,0.0
1.4003,0.00018951416036182812,0.00015861602450329288
1.4336,0.0004174035520601115,0.00011678511851705162
1.467,8.001975436762229e-05,8.266161201601965e-05
1.5003,3.092981990146886e-05,0.0003778989420888704
1.5336,5.503969815437138e-05,0.0003619243446799991
1.567,3.380616236163905e-05,0.0001049992398197493
1.6003,3.846485384014144e-05,0.00021888128691277263
