,B,C
0.0,0.0,0.0
0.005163,1.1800769473397272e-06,2.7563379600402204e-09
0.021477,4.863785000313358e-06,4.739446727549259e-08
0.0333,7.491389371961844e-06,1.1343736429140596e-07
0.038479,8.63127442310715e-06,1.5117078223816385e-07
0.054841,1.2189126942773658e-05,3.052004552355155e-07
0.0667,1.4726585871725136e-05,4.494686950154433e-07
0.071863,1.5820704572048112e-05,5.207447010476545e-07
0.088177,1.923557131142395e-05,7.792569224254418e-07
0.1,2.167092073621374e-05,9.978421701740594e-07
0.105179,2.2727273427590568e-05,1.101746251279071e-06
0.121541,2.6023882898369775e-05,1.4622944811712918e-06
0.1334,2.8374531048348565e-05,1.7538366425146866e-06
0.138563,2.9387969662396826e-05,1.8886112538462802e-06
0.154877,3.255050906341151e-05,2.3452939769484715e-06
0.1667,3.480541886843394e-05,2.7051917334201317e-06
0.171863,3.578045512706105e-05,2.8698858744670748e-06
0.188177,3.8822893272070416e-05,3.4199315877273938e-06
0.2,4.099192067272531e-05,3.846393945646273e-06
0.205179,4.193256262412249e-05,4.040457607561032e-06
0.221541,4.486730415571715e-05,4.682335898527068e-06
0.2334,4.695919695834235e-05,5.174447127425491e-06
0.238563,4.78608867836404e-05,5.395684591171063e-06
0.254877,5.067394250076618e-05,6.12214853681238e-06
0.2667,5.267894662824927e-05,6.674368713576348e-06
0.271879,5.354832614788681e-05,6.92296577733376e-06
0.288241,5.62602126110016e-05,7.73496882566512e-06
0.3001,5.8192758941479406e-05,8.348330407116662e-06
0.305263,5.9025633594242974e-05,8.621827661989736e-06
0.321577,6.162348380280388e-05,9.511313774864421e-06
0.3334,6.34746076885467e-05,1.0179712888829081e-05
0.338563,6.427473778769136e-05,1.0477780988944575e-05
0.354877,6.677018826089354e-05,1.1443902923700641e-05
0.3667,6.854809448956194e-05,1.2166905839755398e-05
0.371879,6.931881059066999e-05,1.2489546256632596e-05
0.388241,7.172216336661422e-05,1.3532479944309574e-05
0.4001,7.343411144988647e-05,1.431037382288348e-05
0.405263,7.417172154656599e-05,1.4654771126445701e-05
0.421577,7.647166200615728e-05,1.5765368914327976e-05
0.4334,7.810977920454432e-05,1.6591289813750297e-05
0.438579,7.881976533015174e-05,1.6958540788294343e-05
0.454941,8.103321462314256e-05,1.8140569159993874e-05
0.4668,8.260939065123853e-05,1.9017527210941934e-05
0.471963,8.328836988497251e-05,1.940460328030952e-05
0.488277,8.540496805495743e-05,2.064826159686764e-05
0.5001,8.691200156854679e-05,2.1568938726132516e-05
0.505263,8.756309229478336e-05,2.1976027447599692e-05
0.521577,8.959248355916773e-05,2.3282067602887452e-05
0.5334,9.1037169061367e-05,2.4247157184369036e-05
0.538579,9.166312335839072e-05,2.467471708644378e-05
0.554941,9.361381462088366e-05,2.6044728324792956e-05
0.5668,9.500214113270796e-05,2.7055513006040047e-05
