,B,C
0.0,,
0.005163,0.00022789101718809963,1.066534985561058e-06
0.021477,0.0002237315082844649,4.395812388993242e-06
0.0333,0.00022075689696831645,6.7705998949214565e-06
0.038479,0.00021946445364055893,7.800810076812702e-06
0.054841,0.0002154223572046588,1.1016341228611814e-05
0.0667,0.0002125318723005089,1.3309656701176454e-05
0.071863,0.00021128351387938543,1.4298503974976397e-05
0.088177,0.00020737921967743767,1.7384806827331537e-05
0.1,0.00020458720859543134,1.9585837335943414e-05
0.105179,0.00020337412661899768,2.0540552284815835e-05
0.121541,0.00019958032364140538,2.3519976077682926e-05
0.1334,0.00019686747948442795,2.5644454906244446e-05
0.138563,0.00019569586444412266,2.6560384786950617e-05
0.154877,0.00019203167941552133,2.9418638159327067e-05
0.1667,0.00018941145968450789,3.145659017742435e-05
0.171863,0.0001882764410523672,3.233781261326692e-05
0.188177,0.00018472675575129682,3.508752035933632e-05
0.2,0.0001821884568924784,3.704785321106604e-05
0.205179,0.00018108564221825402,3.7897990612964386e-05
0.221541,0.00017763682404042995,4.055036385360838e-05
0.2334,0.00017517079587027893,4.244098366875918e-05
0.238563,0.00017410580832291219,4.325591675170157e-05
0.254877,0.00017077522936755402,4.5798312267020006e-05
0.2667,0.0001683936931493632,4.761040346410313e-05
0.271879,0.0001673590095757099,4.839613500094397e-05
0.288241,0.0001641233463372396,5.084709533560824e-05
0.3001,0.00016180981628089252,5.259370031532475e-05
0.305263,0.00016081070937149064,5.3346439327608534e-05
0.321577,0.0001576862500038162,5.5694335488891346e-05
0.3334,0.00015545218368858297,5.7367352143613e-05
0.338563,0.00015448449092053231,5.809049714332e-05
0.354877,0.00015145831595475887,6.034584603425873e-05
0.3667,0.00014929456755653647,6.195268972203385e-05
0.371879,0.00014835453684727373,6.264925081291863e-05
0.388241,0.00014541500221974357,6.482136325352534e-05
0.4001,0.00014331333020627902,6.636859500683609e-05
0.405263,0.00014240574741495468,6.7035235411587e-05
0.421577,0.0001395676356576523,6.911388542707225e-05
0.4334,0.0001375384368645689,7.05943899877855e-05
0.438579,0.0001366568824385874,7.12360642819324e-05
0.454941,0.00013390029374158125,7.323654494131816e-05
0.4668,0.00013192950452079982,7.466106804649079e-05
0.471963,0.00013107846360871947,7.527471879941772e-05
0.488277,0.00012841725051728544,7.718766693703907e-05
0.5001,0.00012651461252745548,7.854970012502689e-05
0.505263,0.0001256905306124437,7.913814568348906e-05
0.521577,0.00012311366181910614,8.097227759135932e-05
0.5334,0.00012127136688794319,8.227796162721973e-05
0.538579,0.00012047104174410458,8.284368927628791e-05
0.554941,0.00011796858062370418,8.460669336018861e-05
0.5668,0.0001161795967064729,8.586144102692384e-05
0.571963,0.00011540709584282569,8.640177953433656e-05
0.588277,0.00011299160336522091,8.808548533896233e-05
0.6001,0.00011126476223172858,8.928362686234893e-05
0.605279,0.00011051461347265015,8.980263681097332e-05
0.621641,0.00010816912879255446,9.14195663120562e-05
0.6335,0.00010649244593174045,9.256988919804641e-05
0.638663,0.00010576845885559175,9.306513670088994e-05
0.654977,0.00010350474529610982,9.460785236027058e-05
0.6668,0.00010188649057012663,9.570520212481353e-05
0.671963,0.00010118563268866973,9.617901032634873e-05
0.688277,9.899428006402406e-05,9.76546916743683e-05
0.7001,9.742779373541943e-05,9.870412140862997e-05
0.705279,9.67473348619119e-05,9.915853160748469e-05
0.721641,9.461987230715534e-05,0.00010057348321566427
0.7335,9.309916058842927e-05,0.00010157942645191235
0.738663,9.244255213611974e-05,0.00010201233263074947
0.754977,9.038963538234531e-05,0.00010336012929056312
0.7668,8.89221879119183e-05,0.0001043181431616637
0.771979,8.828477077637229e-05,0.00010473284427112813
0.788341,8.629196122138065e-05,0.00010602364746928101
0.8002,8.486757774769405e-05,0.00010694085172174176
0.805363,8.425258218188639e-05,0.00010733544306952112
0.821677,8.232985165805085e-05,0.00010856344912537017
0.8335,8.095554007687316e-05,0.00010943583771598542
0.838663,8.036038170285423e-05,0.00010981222018501495
0.854977,7.849971156259049e-05,0.00011098329837662331
0.8668,7.716979789601761e-05,0.00011181499718380013
0.871979,7.659215166560355e-05,0.00011217483203748874
0.888341,7.478632903192803e-05,0.00011329410788895354
0.9002,7.349571054324078e-05,0.00011408871625046078
0.905363,7.29384996618514e-05,0.00011443037665257187
0.921677,7.119654690468227e-05,0.00011549290415472337
0.9335,6.99515627082541e-05,0.00011624701870199332
0.938679,6.941082568672585e-05,0.00011657315555241174
0.955041,6.772046821517076e-05,0.0001175870880403304
0.9669,6.651244883215459e-05,0.00011830641000191103
0.972063,6.59909193179241e-05,0.00011861556690993812
0.988377,6.436059336258894e-05,0.00011957648441574619
1.0002,6.319546506034255e-05,0.00012025797998821666
1.005363,6.269094323875645e-05,0.0001205516981803044
1.021677,6.111382432038049e-05,0.00012146435413756763
1.0335,5.99867590319967e-05,0.00012211135970166054
1.038679,5.949726748169462e-05,0.00012239097700295895
1.055041,5.7967222099109505e-05,0.00012325949362387614
1.0669,5.687388159328608e-05,0.00012387489879636142
1.072063,5.640189084504534e-05,0.00012413919380510025
1.088377,5.492654166248377e-05,0.0001249598762420827
1.1002,5.387227919659272e-05,0.00012554115653172298
1.105379,5.341442613172007e-05,0.00012579222953567842
1.121741,5.19833546396396e-05,0.00012657152522255392
1.1336,5.096081361711951e-05,0.00012712317713975838
1.138763,5.051940636634397e-05,0.00012735995072122805
1.155077,4.913973309953155e-05,0.00012809460903182764
1.1669,4.815391313524241e-05,0.00012861442002320958
1.172063,4.772708181978588e-05,0.00012883812947196962
1.188377,4.6393006801863124e-05,0.00012953195480665342
1.2002,4.54398055227867e-05,0.0001300225899166566
1.205379,4.502587091093507e-05,0.00013023429817533483
1.221741,4.3732186482472416e-05,0.00013089056019668235
1.2336,4.2807921386127624e-05,0.00013135430610130872
1.238763,4.240896624267594e-05,0.0001315531340153909
1.255077,4.1162096148559414e-05,0.00013216919366405817
1.2669,4.0271276135128416e-05,0.0001326042671479684
1.272079,3.988445040856301e-05,0.0001327918479560802
1.288441,3.867556754995916e-05,0.00013337270596266456
1.3003,3.7811961627344154e-05,0.0001337825821544092
1.305463,3.74392090184717e-05,0.0001339581580211293
1.321777,3.6274307196965753e-05,0.00013450154947175163
1.3336,3.544212149363273e-05,0.00013488470774277952
1.338763,3.508185510304323e-05,0.0001350492541031757
1.355077,3.395601300571817e-05,0.00013555817745426833
1.3669,3.315176750857817e-05,0.00013591671286588267
1.372079,3.280256380114476e-05,0.0001360710594237994
1.388441,3.171136764332628e-05,0.00013654806108451395
1.4003,3.0931942083188227e-05,0.00013688374894386368
1.405463,3.0595551830011835e-05,0.00013702730467847376
1.421777,2.9544398958448628e-05,0.00013747063407225225
1.4336,2.8793579456050746e-05,0.00013778231461847082
1.438779,2.846759235892269e-05,0.00013791631735620997
1.455141,2.744901961689286e-05,0.00013832975070582237
1.467,2.672153983284529e-05,0.00013862003483944673
1.472163,2.6407587648451344e-05,0.00013874399547563805
1.488477,2.542662445819804e-05,0.00013912609636448998
1.5003,2.4726011446111505e-05,0.00013939404467120677
1.505463,2.442274989483913e-05,0.00013950871830310896
1.521777,2.3475228257666903e-05,0.00013986180194301795
1.5336,2.2798535549750503e-05,0.00014010902640699144
1.538779,2.250476027182429e-05,0.00014021504520253083
1.555141,2.1586946858121077e-05,0.000140541045595446
1.567,2.0931536064327747e-05,0.0001407688886555991
1.572163,2.0648713753010396e-05,0.00014086590341005453
1.588477,1.9765127727315905e-05,0.00014116381527196238
1.6003,1.913416663573635e-05,0.0001413716397945436
1.605479,1.8860263742674533e-05,0.0001414605543098037
1.621841,1.8004610413980374e-05,0.0001417331197510077
1.6337,1.739365902540634e-05,0.00014192280706155376
1.638863,1.7130040453010713e-05,0.0001420033574485518
1.655177,1.6306524337408615e-05,0.00014224983402814445
1.667,1.5718528915327627e-05,0.000142420931207925
1.672163,1.5464058317420154e-05,0.00014249368610050973
1.688477,1.4669157002219825e-05,0.00014271581096054757
1.7003,1.4101628295712904e-05,0.00014286952140593555
1.705479,1.3855289102187582e-05,0.000142934946033248
1.721841,1.3085852243110099e-05,0.00014313413575851736
1.7337,1.2536564688181042e-05,0.00014327143630732658
1.738863,1.2299580674735372e-05,0.00014332938366051203
1.755177,1.1559376570537435e-05,0.00014350525578566686
1.767,1.1030969339050001e-05,0.00014362594570238582
1.772179,1.0801629570072223e-05,0.00014367703813897344
1.788541,1.0085364030313574e-05,0.00014383146373111354
1.8004,9.574104618927654e-06,0.00014393681008443272
1.805563,9.35354587286064e-06,0.000143980971717987
1.821877,8.66471830643955e-06,0.00014411378728408875
1.8337,8.173056606510313e-06,0.00014420374266899821
1.838863,7.960320662958158e-06,0.00014424138469523468
1.855177,7.295961668243845e-06,0.0001443538394222222
1.867,6.821800054822391e-06,0.00014442926246614355
1.872179,6.616031163950525e-06,0.0001444607093850019
1.888541,5.973489628289651e-06,0.00014455378380487778
1.9004,5.514956028534801e-06,0.0001446153433585172
1.905563,5.317170399974741e-06,0.0001446406164894238
1.921877,4.699573102474108e-06,0.00014471444627546097
1.9337,4.2588551227264574e-06,0.00014476230431130092
1.938879,4.067617920788111e-06,0.00014478178958005414
1.955241,3.4705268636817995e-06,0.00014483751434656795
1.9671,3.0444973930235916e-06,0.00014487242238223367
1.972263,2.8607505343400034e-06,0.00014488620010490795
1.988577,2.2870629018096467e-06,0.00014492413702157396
2.0004,1.8777479545177691e-06,0.00014494638398163635
2.005563,1.7006857321936923e-06,0.0001449547327742296
2.021877,1.1479055895011806e-06,0.00014497572024634413
2.0337,7.535428091977417e-07,0.00014498587463918525
2.038879,5.824471219198417e-07,0.0001449890007120601
2.055241,4.835062896463232e-08,0.00014499365287565436
2.0671,-3.326295441299404e-07,0.0001449921248847817
2.072263,-4.969196957543285e-07,0.0001449901889584432
2.088577,-1.0097533843723662e-06,0.00014497907022631662
2.1004,-1.3755487487212742e-06,0.00014496632160948872
2.105579,-1.5342320572431918e-06,0.00014495951168926353
2.121941,-2.0295087120081367e-06,0.0001449331496427717
2.1338,-2.3827286944177225e-06,0.0001449095008010071
2.138963,-2.535029544357404e-06,0.00014489802625358207
2.155277,-3.010365867980102e-06,0.0001448571348170408
2.1671,-3.3493460873510387e-06,0.0001448231519508537
2.172263,-3.495939676744687e-06,0.00014480718009075654
2.188577,-3.953426475982869e-06,0.00014475225294247212
2.2004,-4.279642437606277e-06,0.0001447082612134237
2.205579,-4.421129125425896e-06,0.00014468789916217257
2.221941,-4.862624784814624e-06,0.00014461924364082677
2.2338,-5.177387327606052e-06,0.00014456543675966387
2.238963,-5.313079259327628e-06,0.00014454095995363735
2.255277,-5.736471637885898e-06,0.00014445949293288133
2.2671,-6.03830716715758e-06,0.0001443965787646912
2.272279,-6.16920121171879e-06,0.00014436801021542158
2.288641,-6.577570326468214e-06,0.00014427374933754432
2.3005,-6.868645915590023e-06,0.0001442016893428616
2.305663,-6.994108240152222e-06,0.00014416934430655983
2.321977,-7.3855088476359975e-06,0.0001440633286858002
2.3338,-7.664468318126544e-06,0.000143982915984532
2.338963,-7.78506251436488e-06,0.00014394686867682887
2.355277,-8.16123899711285e-06,0.00014382930376722125
2.3671,-8.429312593330591e-06,0.00014374066017895017
2.372279,-8.545538376111833e-06,0.00014370093505101526
2.388641,-8.908036759310143e-06,0.00014357187235258123
2.4005,-9.16631421267687e-06,0.000143475011189127
2.405663,-9.277612502383139e-06,0.00014343197734956563
2.421977,-9.624718468553555e-06,0.00014329262118103732
2.4338,-9.872006042567274e-06,0.00014318845067246602
2.438979,-9.979201357002783e-06,0.00014314199426940374
2.455341,-1.0313460603932905e-05,0.00014299193954791237
2.4672,-1.0551547706744004e-05,0.0001428801238628927
2.472363,-1.0654126952271485e-05,0.00014283064630658316
2.488677,-1.0973967207658658e-05,0.00014267119636641543
2.5005,-1.1201760009615219e-05,0.00014255271265244988
2.505663,-1.1300191406664998e-05,0.00014250021062032456
2.521977,-1.1607061047798307e-05,0.00014233133098940178
2.5338,-1.1825580252052271e-05,0.0001422061319162782
2.538979,-1.1920277555268571e-05,0.0001421505612180703
2.555341,-1.2215455845856868e-05,0.0001419720910959906
2.5672,-1.2425602377021032e-05,0.00014184004039385112
2.572363,-1.2516116084248847e-05,0.00014178184589210411
2.588677,-1.2798227158317682e-05,0.00014159522169291256
2.6005,-1.299904530908211e-05,0.0001414573890245704
2.605679,-1.3086052892053228e-05,0.00014139634401587813
2.622041,-1.3357186631637415e-05,0.00014120081236849964
2.6339,-1.355014368303963e-05,0.00014105661722002915
2.639063,-1.363323473125197e-05,0.00014099319247291804
2.655377,-1.3892135994092593e-05,0.0001407902690535075
2.6672,-1.4076361124812756e-05,0.00014064083611356422
2.672363,-1.415592242911135e-05,0.0001405749640590828
2.688677,-1.4403786882902366e-05,0.00014036441572154988
2.7005,-1.4580121927179046e-05,0.00014020955771054195
2.705679,-1.4656493890024957e-05,0.00014014113749392357
2.722041,-1.4894373187881644e-05,0.00013992262830374563
2.7339,-1.5063557996451517e-05,0.000139762085673692
2.739063,-1.5136384223926835e-05,0.00013969162267473442
2.755377,-1.5363190019185796e-05,0.0001394667740847357
2.7672,-1.5524471033112447e-05,0.00013930174484158122
2.772379,-1.5594303673030393e-05,0.00013922891998143858
2.788741,-1.581173741840994e-05,0.00013899669380043028
