,A,B,C
0.0,0.001,3.23483714173274e-39,4.517954515741051e-39
0.0333,0.0009925133748050284,7.245354875214928e-06,2.4127031975677553e-07
0.0667,0.0009850606526806776,1.4223027864153572e-05,7.163194551688448e-07
0.1,0.0009776858727797435,2.0901778532981133e-05,1.4123486872757223e-06
0.1334,0.0009703444894596826,2.733032885999193e-05,2.325181680325569e-06
0.1667,0.0009630798839570917,3.3480048728768604e-05,3.4400673141397178e-06
0.2,0.000955869665833088,3.9378947875411016e-05,4.751386291500918e-06
0.2334,0.0009486920990744038,4.505178500004985e-05,6.256115925546231e-06
0.2667,0.0009415895969032029,5.0473518972657786e-05,7.936884124139343e-06
0.3001,0.0009345192583072343,5.568401156380142e-05,9.796730128964262e-06
0.3334,0.0009275228628828051,6.06604151437488e-05,1.1816721973446119e-05
0.3667,0.0009205788468486344,6.542575356250658e-05,1.3995399588859088e-05
0.4001,0.0009136662766875866,7.000031323802977e-05,1.6333410074383715e-05
0.4334,0.0009068259997207413,7.436426031173694e-05,1.8809739967521853e-05
0.4668,0.0009000166988461986,7.854999144576191e-05,2.1433309708039636e-05
0.5,0.0008932986946137235,8.252806392842071e-05,2.4173241457855884e-05
0.5001,0.0008932784601195668,8.254004441805321e-05,2.418149546238021e-05
0.5334,0.00088659081909391,8.63521585357221e-05,2.7057022370368055e-05
0.5668,0.0008799334629509708,9.000340105342299e-05,3.0063135995606232e-05
0.6001,0.0008733457309173434,9.347830548333472e-05,3.3175963599322e-05
0.6335,0.0008667878313300522,9.680298532833523e-05,3.640918334161276e-05
0.6668,0.0008602985157133218,9.99635158344972e-05,3.9737968452181306e-05
0.7001,0.0008538577831703854,0.00010297517501514659,4.316704181446811e-05
0.7335,0.0008474462173887827,0.00010585130710412583,4.6702475507091704e-05
0.7668,0.0008411017051862963,0.00010858010187792882,5.031819293577514e-05
0.8002,0.0008347859240127656,0.00011118239114992614,5.403168483730859e-05
0.8335,0.0008285361946816438,0.00011364765357903069,5.7816151739325806e-05
0.8668,0.0008223332547315942,0.00011598818686776893,6.167855840063723e-05
0.9002,0.0008161584047026649,0.00011821466698008912,6.562692831724633e-05
0.9335,0.0008100481326269299,0.00012031833834875427,6.963352902431614e-05
0.9669,0.0008039655308272275,0.0001223155990977484,7.371887007502444e-05
1.0,0.000797982423281192,0.0001241880811176919,7.782949560111633e-05
1.0002,0.0007979462732117039,0.00012419939130866984,7.78543354796264e-05
1.0335,0.0007919723485384434,0.00012597824053032987,8.2049410931227e-05
1.0669,0.0007860254766940352,0.00012766122733898734,8.631329596697766e-05
1.1002,0.0007801407985563277,0.00012924214210168142,9.061705934199087e-05
1.1336,0.0007742827690958668,0.00013073366703937294,9.498356386476038e-05
1.1669,0.0007684860042087211,0.00013213048667621197,9.938350911506703e-05
1.2002,0.0007627326375276289,0.0001334402916025156,0.00010382707086985566
1.2336,0.0007570053248818086,0.0001346696382846595,0.00010832503683353205
1.2669,0.0007513379097438207,0.000135814432766314,0.00011284765748986553
1.3003,0.0007456961594108227,0.00013688424913257577,0.00011741959145660183
1.3336,0.0007401134117559838,0.00013787573477355375,0.00012201085347046264
1.3669,0.0007345724600403948,0.0001387948189711944,0.0001266327209884109
1.4003,0.0007290566004420724,0.00013964648589402594,0.00013129691366390203
1.4336,0.0007235984269286422,0.0001404283938456448,0.00013597317922571327
1.467,0.0007181649706726235,0.00014114752279323752,0.00014068750653413925
1.5,0.0007128364174395144,0.00014179678216802037,0.0001453668003924655
1.5003,0.0007127879793381377,0.00014180267946513222,0.00014540934119673036
1.5336,0.0007074516028933519,0.00014239722816462928,0.0001501511689420193
1.567,0.0007021393921497671,0.00014293539661359118,0.00015492521123664207
1.6003,0.0006968827376861165,0.00014341628861849978,0.00015970097369538415
1.6337,0.0006916498879038636,0.00014384472455266124,0.0001645053875434755
1.667,0.0006864717644269831,0.00014422031160507895,0.0001693079239679384
1.7003,0.0006813324076197872,0.00014454627732909373,0.00017412131505111945
1.7337,0.0006762163243133001,0.00014482519894254019,0.0001789584767441602
1.767,0.0006711537461424447,0.000145057366752253,0.00018378888710530262
1.8004,0.0006661140937813877,0.00014524580904278078,0.00018864009717583184
1.8337,0.0006611271472241581,0.00014539122767018954,0.00019348162510565275
1.867,0.0006561775360666699,0.0001454958277162871,0.00019832663621704343
1.9004,0.0006512503391495433,0.00014556127790285264,0.0002031883829476044
1.9337,0.0006463746719522323,0.00014558883678669727,0.0002080364912610708
1.9671,0.0006415210841411616,0.0001455800508507414,0.00021289886500809748
2.0,0.0006367755210903021,0.00014553743233007116,0.00021768704657962703
2.0004,0.0006367178295024008,0.00014553690915372904,0.00021774526134387052
2.0337,0.0006319509617579602,0.00014545996017588614,0.000222589078066154
2.0671,0.0006272056807030591,0.0001453505333677686,0.00022744378592917276
2.1004,0.0006225100268514778,0.0001452106718000641,0.00023227930134845837
2.1338,0.0006178356371983836,0.00014504070195928636,0.00023712366084233037
2.1671,0.0006132101333505826,0.00014484293599038641,0.0002419469306590313
2.2004,0.000608619258916428,0.00014461802997812334,0.0002467627111054489
2.2338,0.00060404917418873,0.00014436628087634488,0.0002515845449349255
2.2671,0.0005995268844222466,0.00014409036155507381,0.0002563827540226799
2.3005,0.0005950250737775743,0.00014378959952751304,0.00026118532669491286
2.3338,0.000590570344068591,0.00014346688201754903,0.00026596277391386015
2.3671,0.0005861489652512839,0.0001431222885775748,0.0002707287461711416
2.4005,0.0005817476085820583,0.00014275560789542432,0.00027549678352251756
2.4338,0.0005773922822785332,0.00014237001272771873,0.00028023770499374835
2.4672,0.0005730566790052654,0.00014196401776038513,0.0002849793032343497
2.5,0.000568830361673077,0.00014154757459930006,0.000289622063727623
2.5005,0.0005687659433999845,0.0001415412222605547,0.0002896928343394609
2.5338,0.0005645078059580842,0.0001411007061409851,0.0002943914879009308
2.5672,0.0005602689514281297,0.00014064211401584718,0.00029908893455602326
2.6005,0.0005560744277804074,0.000140169009597314,0.00030375656262227865
2.6339,0.0005518988989705121,0.00013967925136497758,0.00030842184966451054
2.6672,0.000547767038768402,0.00013917653297276008,0.000313056428258838
2.7005,0.0005436661122549832,0.00013866007881546132,0.0003176738089295555
2.7339,0.0005395837567261639,0.00013812892809962932,0.00032228731517420703
2.7672,0.0005355440953782602,0.0001375869441611611,0.00032686896046057903
2.8006,0.0005315227275765666,0.0001370314611158285,0.0003314458113076052
2.8339,0.0005275434161325917,0.00013646644006036116,0.0003359901438070474
2.8672,0.0005235938963019319,0.00013589079632805607,0.00034051530737001237
2.9006,0.0005196622618129648,0.00013530330053400697,0.0003450344376530286
2.9339,0.0005157717452307998,0.00013470803936061664,0.00034952021540858406
2.9673,0.0005118988467949959,0.0001341019331833184,0.00035399922002168606
3.0,0.0005081349964285414,0.00013350032294580122,0.00035836468062565774
3.0006,0.0005080659443389121,0.00013348928146575027,0.0003584447741953379
3.0339,0.0005042622450393172,0.00013286846097078364,0.0003628692939898995
3.0673,0.0005004757707353134,0.00013223818001802855,0.0003672860492466585
3.1006,0.0004967288962206532,0.00013160268507584976,0.0003716684187034974
3.134,0.0004929989893713926,0.00013095857546098402,0.00037604243516762377
3.1673,0.000489308090716469,0.00013031014620393393,0.00038038176307959756
3.2006,0.00048564482443640735,0.00012965587190634913,0.00038469930365724405
3.234,0.00048199814720310076,0.00012899414466477856,0.0003890077081321212
3.2673,0.00047838960773032013,0.000128329317811706,0.0003932810744579744
3.3007,0.00047479740947476334,0.00012765774726595264,0.00039754484325928445
3.334,0.00047124277922648203,0.00012698381638629488,0.00040177340438722354
3.3673,0.0004677147611625764,0.00012630584961594005,0.0004059793892214839
3.4007,0.0004642027196758946,0.00012562211250307173,0.0004101751678210341
3.434,0.0004607274078991944,0.00012493702142473426,0.0004143355706760717
3.4674,0.0004572678340200819,0.0001242467536891411,0.0004184854122907773
3.5,0.0004539158768275883,0.00012357031845957827,0.0004225138047128337
3.5007,0.00045384391369737904,0.00012355579253414892,0.00042260029376847225
3.534,0.0004504461544185075,0.00012286223920653954,0.0004266916063749532
3.5674,0.0004470637818418929,0.0001221643233427144,0.0004307718948153929
3.6007,0.0004437167828689959,0.00012146648821752917,0.0004348167289134751
3.6341,0.0004403849407310668,0.00012076478644777691,0.0004388502728211565
3.6674,0.00043708794373830323,0.00012006366340904762,0.0004428483928526493
3.7007,0.00043381563012629353,0.00011936124744151716,0.0004468231224321894
3.7341,0.00043055813513770793,0.00011865564388473135,0.00045078622097756096
3.7674,0.00042733470775528583,0.00011795129316547495,0.0004547139990792394
3.8008,0.0004241258776157256,0.00011724416805291759,0.00045862995433135694
3.8341,0.0004209506061345281,0.00011653870076000889,0.0004625106931054631
3.8674,0.0004177991067208025,0.00011583296248443957,0.0004663679307947581
3.9008,0.00041466187882520465,0.00011512501484574701,0.00047021310632904846
3.9341,0.0004115574607557974,0.00011441927114783886,0.00047402326809636386
3.9675,0.00040846710099735184,0.00011371166137827945,0.0004778212376243689
4.0,0.000405481990437695,0.0001130235078946368,0.00048149450166766835
4.0008,0.0004054085241063918,0.00011300656896986036,0.00048158490692374803
4.0341,0.0004023733824355604,0.00011230205226294808,0.00048532456530149163
4.0675,0.0003993519853585522,0.00011159613828400644,0.0004890518763574416
4.1008,0.00039636218672330466,0.00011089319353753552,0.0004927446197391601
4.1342,0.0003933859273466194,0.0001101891357435906,0.0004964249369097902
4.1675,0.0003904407943515987,0.00010948830804428582,0.0005000708976041158
4.2008,0.0003875177104634611,0.00010878872727785307,0.000503693562258686
4.2342,0.0003846078637171477,0.00010808842073550773,0.000507303715547345
4.2675,0.0003817284487944585,0.00010739169226985791,0.000510879858935684
4.3009,0.00037886207325933425,0.00010669447239147941,0.0005144434543491867
4.3342,0.0003760256749162515,0.0001060010361940118,0.0005179732888897371
4.3675,0.0003732105116244671,0.00010530939654576281,0.0005214800918297705
4.4009,0.00037040809675769465,0.0001046175840696743,0.0005249743191726315
4.4342,0.00036763499016808683,0.00010392982737315585,0.0005284351824587577
4.4676,0.00036487444155034187,0.00010324209014556438,0.0005318834683040942
4.5,0.00036221605460215966,0.00010257698281724114,0.0005352069625805996
4.5009,0.00036214222557160575,0.0001025585091886026,0.0005352992652397921
4.5342,0.00035943100246147797,0.00010187722081178106,0.0005386917767267414
4.5676,0.00035673205708479876,0.00010119621265208925,0.0005420717302631123
4.6009,0.0003540613378783734,0.0001005196282057966,0.0005454190339158305
4.6343,0.00035140271298407223,9.984348080777838e-05,0.0005487538062081497
4.6676,0.00034877189257946395,9.917187765350844e-05,0.000552056229767028
4.7009,0.00034616076814118047,9.850285692344771e-05,0.0005553363749353723
