,A,B,C,D,E,F,G,H
0.0,0.4916783403271356,0.0,0.0,0.0,0.008282542438230156,0.29892799351963467,0.48419507239329523,0.016137693967202486
0.06202,0.4890516761995762,0.006097747022300129,0.0,0.03545685663592015,0.0,0.30140279018536004,0.5022726912767117,0.0
0.25798,0.4219722441085392,0.03885598850526261,0.0,0.06649478600450714,0.0,0.2919095994578896,0.5045558179977252,0.04156769949819807
0.4,0.378933590461979,0.05076987716956822,0.013101586709096762,0.06157676533432911,0.0,0.31987611351228146,0.4989453630236334,0.029916530298913505
0.46202,0.3437551087409141,0.0736209259354588,0.004540679508912434,0.11056522320131726,0.0,0.2832206552366147,0.5047135163595036,0.0267090344928015
0.65798,0.3360302839587535,0.06922775327436238,0.0021524280182002847,0.10439751587999846,0.017372466306119848,0.28909041263717344,0.4441057386838752,0.02450000400035563
0.8,0.30503624000124324,0.07441841537321285,0.05074058838391923,0.12753980881393695,0.0,0.26685527493464584,0.4707786586404664,0.0389191907162811
0.86202,0.2942332659558816,0.06635593063001494,0.0,0.10983422379809077,0.0,0.2565665304540021,0.4287577410729019,0.016870310477265588
1.05798,0.2214861613003912,0.04707152241194024,0.0,0.15831351859803897,0.019323810521192815,0.25741049884872574,0.4775217033306557,0.06289127095623283
1.2,0.22025466000325566,0.08152167566688617,0.005911957554408188,0.1839022520338058,0.03302186627696004,0.25140536993946405,0.467345590759565,0.05109488995649096
1.26202,0.17930511841216948,0.1435351696097385,0.0,0.1527663347386243,0.0,0.24800455609722566,0.45853467719241486,0.06095586989226923
1.45798,0.17073920255871042,0.09324434893927855,0.0,0.1589524775902148,0.036540339751108035,0.24710655893014333,0.43219309773247594,0.08357479684027302
1.6,0.16769548130685186,0.09033949238153612,0.030729219628668036,0.172364290846472,0.01475152574901814,0.25626107406063997,0.4529102598169112,0.06252486638084948
1.66202,0.16621090583667053,0.06382965234282398,0.014423438954162766,0.20928372294085304,0.0,0.2310317300520849,0.4337463279098934,0.0446011639663305
1.85798,0.14100399703516484,0.1225527668861989,0.01279545175966816,0.19829246934518271,0.0,0.2748642923223401,0.4779486216463065,0.03500412849158677
2.0,0.14159807425610063,0.11919705714914014,0.014994611702009674,0.2150433336277322,0.015409344536266543,0.2806019707015323,0.44767787354609734,0.0608572400066736
2.06202,0.09579543850382005,0.11031909745393419,0.033227687760659444,0.20133795963338158,0.03176588253037744,0.3023371045104088,0.4073470147335089,0.09974757274777259
2.25798,0.12106052756487624,0.11586540200446434,0.038475938771286855,0.1823748944903591,0.0,0.27151645333500474,0.484696034174923,0.03471932707463308
2.4,0.09092230143742436,0.12917044928506288,0.03242517334777775,0.21601064363837574,0.027280405126202823,0.22179663112125864,0.43028250741469,0.07018040550443684
2.46202,0.0869984871717117,0.1686236941840089,0.03331854184992043,0.2220359620621644,0.053851111401538594,0.19491613361893867,0.42947056186116567,0.07399292164403555
2.65798,0.0597980025596357,0.1394502855267713,0.01444249107050262,0.20319703230923436,0.06861947934211676,0.21319919127054218,0.424119646037279,0.09335706528436546
2.8,0.07308500909064199,0.1437315099408105,0.026880103304028412,0.21907720403665998,0.05772250977960956,0.2365819047226494,0.44988191425332374,0.0764496301637497
2.86202,0.07935423595079247,0.14287541954018892,0.05453086027518714,0.19954020983969165,0.014071067580158024,0.25105359440730757,0.4109801915518994,0.05057889458124121
3.05798,0.05095794910225261,0.10259742334914962,0.0,0.2139185997819116,0.052381986962489815,0.20298190390084767,0.3991291039789422,0.08728622818092494
3.2,0.05291132738100567,0.11198191814717831,0.005170304796085771,0.2130847327618287,0.04101471377786027,0.20945212201468807,0.4253275042421335,0.047961962835957
3.26202,0.04128715866233404,0.13866167956986222,0.0,0.22224646831353337,0.016439052939950568,0.2415712990757675,0.3973354601168603,0.07036057260484688
3.45798,0.04945865691715586,0.10920967269587663,0.02625121326118788,0.23403421551343426,0.056867635100035396,0.19741754863793912,0.39282534780563766,0.14691021013160727
3.6,0.011958029978975656,0.14528709296233422,0.028756717154668494,0.24232089190082795,0.07533776909394467,0.2133702289218227,0.41175743052356656,0.12378695945469248
3.66202,0.04964581394540576,0.12829967237623682,0.045242371260193405,0.20461364116378786,0.034386930075067705,0.21103724393336076,0.41879878432644074,0.08770628477387052
3.85798,0.05037531832261467,0.12749001310397975,0.0247201964437747,0.22214041992668435,0.03774033111502106,0.17642684121882332,0.4168348820729544,0.12092379759527688
4.0,0.030171885766241895,0.10981350495818133,0.006062522700237022,0.19008682608969274,0.031358925797226,0.20415942347656266,0.40099162838574487,0.08090076402621958
4.06202,0.020825404867891854,0.093714323644542,0.0,0.19398691738707674,0.033413771752445226,0.21138277177411324,0.38720887175321683,0.09539423168678376
4.25798,0.0388598365223321,0.12038343763236005,0.02096013498333599,0.2150569955310595,0.03179482399056753,0.15769791782173948,0.3596893704655885,0.11596757289361233
4.4,0.02854476505800553,0.11152347384122316,0.0,0.22816576711630773,0.02184018792871284,0.22983446469406157,0.3859978937619246,0.1198151315002733
